供应商名称;股票代码;报告期;金额(万元)
中国长城科技集团股份有限公司;000066.SZ;2017-12-31;23,847.87
深圳联合金融服务集团股份有限公司;839269.OC;2017-12-31;17,686.09
北京长城金点物联网科技股份有限公司;832653.OC;2017-12-31;6,411.69
杭州时代银通软件股份有限公司;872516.OC;2017-12-31;5,900.66
四川金投金融电子服务股份有限公司;834023.OC;2017-12-31;4,957.99
深圳市瑞斯特实业股份有限公司;871094.OC;2017-12-31;4,885.75
北京宏天信业信息技术股份有限公司;837758.OC;2017-12-31;4,331.61
深圳市赢时胜信息技术股份有限公司;300377.SZ;2017-12-31;3,711.93
中财国盛投资(北京)股份有限公司;836473.OC;2017-12-31;2,439.13
江苏中融外包服务股份有限公司;835047.OC;2017-12-31;2,106.91
北京淘礼网科技股份有限公司;430298.OC;2017-12-31;1,949.86
宝利信通(北京)软件股份有限公司;836486.OC;2017-12-31;1,920.41
深圳昌恩智能股份有限公司;837544.OC;2017-12-31;1,557.99
武汉佳维科技发展股份有限公司;839581.OC;2017-12-31;984.63
北京新赛点体育投资股份有限公司;834425.OC;2017-12-31;957.67
湖南丰汇银佳科技股份有限公司;833592.OC;2017-12-31;827.76
深圳东文传媒股份有限公司;836167.OC;2017-12-31;650.00
资和信控股集团股份有限公司;871284.OC;2017-12-31;604.84
北京众联享付科技股份有限公司;839978.OC;2017-12-31;544.14
上海海阳保安服务股份有限公司;830921.OC;2017-12-31;416.64
河北昊天诚泰科技股份有限公司;838744.OC;2017-12-31;380.24
融汇通网络服务股份有限公司;870920.OC;2017-12-31;208.29
厦门市天艺传媒股份有限公司;833842.OC;2017-12-31;128.86
申江万国数据信息股份有限公司;834105.OC;2017-12-31;108.31
宁波甬派传媒股份有限公司;871066.OC;2017-12-31;107.86
北京东方京融教育科技股份有限公司;837052.OC;2017-12-31;89.07
山东绿环科技股份有限公司;833128.OC;2017-12-31;81.08
上海鸣泰信息科技股份有限公司;839396.OC;2017-12-31;69.12
北京清芝融科商用机器股份有限公司;837047.OC;2017-12-31;24.44
