参控股名称;股票代码;报告期;持股比例(%)
上海运晟医疗科技有限公司;-;2017-12-31;100.00
上海顺玥投资有限公司;-;2017-12-31;100.00
上海运盛健康科技有限公司;-;2017-12-31;100.00
上海富冶金融信息服务有限公司;-;2017-12-31;100.00
烜立供应链管理(上海)有限公司;-;2017-12-31;100.00
(香港)耀晶实业有限公司;-;2017-12-31;100.00
上海汇仁文化传播有限公司;-;2017-12-31;100.00
重庆康润实业有限公司;-;2017-12-31;100.00
上海卓诚贸易有限公司;-;2017-12-31;100.00
上海运川实业有限公司;-;2017-11-22;100.00
成都九川机电数码园投资发展有限公司;-;2017-08-01;100.00
江苏运盛健康信息科技有限公司;-;2017-12-31;90.00
丽水运盛人口健康信息科技有限责任公司;-;2017-12-31;80.00
上海融达信息科技有限公司;201130.SEE;2017-12-31;78.77
福州长建设计装饰工程有限公司;-;2017-12-31;75.00
旌德宏琳健康产业发展有限公司;-;2017-12-31;70.00
运盛(上海)房地产建设有限公司;-;2015-12-31;67.80
杭州运盛健康科技有限公司;-;2015-12-31;62.00
福建兴盛物资贸易有限公司;-;2017-12-31;53.00
南京泓宜康医院管理有限公司;-;2017-12-31;51.00
健资科技(苏州工业园区)有限公司;-;2017-12-31;51.00
上海盛佳置业有限公司;-;2017-12-31;10.00
