参控股名称;股票代码;报告期;持股比例(%)
厦门七尚股权投资有限责任公司;-;2017-12-31;100.00
厦门七匹狼服装营销有限公司;-;2017-12-31;100.00
上海七匹狼实业有限公司;-;2017-12-31;100.00
厦门狼族一派服饰有限公司;-;2017-12-31;100.00
厦门无极客服饰有限公司;-;2017-12-31;100.00
七匹狼国际时尚发展集团有限公司;-;2017-12-31;100.00
广西七匹狼服装营销有限公司;-;2017-12-31;100.00
上海七匹狼服装销售有限公司;-;2017-12-31;100.00
深圳市七匹狼服装有限公司;-;2017-12-31;100.00
厦门七匹狼股权投资有限公司;-;2017-12-31;100.00
晋江七匹狼电子商务有限公司;-;2017-12-31;100.00
堆龙德庆七尚投资有限公司;-;2017-12-31;100.00
上海柒合服装有限公司;-;2017-12-31;100.00
上海霍特文化创意有限公司;-;2017-12-31;100.00
福建狼图腾文化创意有限公司;-;2017-12-31;100.00
安徽七匹狼服饰有限责任公司;-;2017-12-31;100.00
西安七匹狼服装营销有限公司;-;2017-12-31;100.00
青岛七匹狼服装营销有限公司;-;2017-12-31;100.00
北京文思苑艺术设计有限公司;-;2017-12-31;100.00
厦门七匹狼软件开发有限公司;-;2017-12-31;100.00
厦门七匹狼电子商务有限公司;-;2017-12-31;100.00
杭州尚盈服饰有限公司;-;2017-12-31;100.00
厦门嘉屹服饰有限公司;-;2017-12-31;100.00
福州七匹狼服装营销有限公司;-;2017-12-31;100.00
厦门尚盈商贸有限公司;-;2017-12-31;100.00
太原七匹狼服装营销有限公司;-;2017-12-31;100.00
上海七匹狼针纺有限公司;-;2017-12-31;80.00
厦门七匹狼针纺有限公司;-;2017-12-31;80.00
晋江七匹狼服装制造有限公司;-;2017-12-31;75.00
上海尚时弘章投资中心(有限合伙);-;2017-12-31;54.15
