参控股名称;股票代码;报告期;持股比例(%)
万孚生物(香港)有限公司;-;2016-12-31;100.00
广州众孚医疗科技有限公司;-;2016-12-31;100.00
万孚美国有限公司;-;2016-12-31;100.00
广州正孚检测技术有限公司;-;2016-12-31;100.00
美国万孚有限公司;-;2015-12-31;100.00
广州万孚健康科技有限公司;-;2016-12-31;51.00
四川万孚医疗器械有限公司;-;2016-12-31;51.00
新疆万孚信息技术有限公司;-;2016-12-31;51.00
厦门信德科创生物科技有限公司;-;2016-12-31;51.00
北京万孚智能科技有限公司;-;2016-12-31;51.00
四川瑞坤恒远科技有限公司;-;2017-09-01;51.00
陕西天心科技有限公司;-;2017-09-01;51.00
达成生物科技发展(苏州)有限公司;-;2017-09-01;51.00
四川欣瑞康医疗器械有限公司;-;2017-09-01;51.00
北京莱尔生物医药科技有限公司;-;2017-09-01;51.00
深圳市博声医疗器械有限公司;-;2016-12-31;11.65
