参控股名称;股票代码;报告期;持股比例(%)
江西万年青科技工业园有限责任公司;-;2017-12-31;100.00
江西万年青工程有限公司;-;2017-12-31;100.00
江西万年青矿业有限公司;-;2017-12-31;100.00
江西万年县万年青商砼有限公司;-;2017-12-31;100.00
上饶市万年青商砼有限公司;-;2017-12-31;100.00
上饶市万年青新型建材有限公司;-;2017-12-31;100.00
铅山县万年青新型建材有限公司;-;2017-12-31;100.00
万年县万年青新型建材有限公司;-;2017-12-31;100.00
鹰潭万年青新型建材有限公司;-;2017-12-31;100.00
进贤县鼎盛混凝土有限公司;-;2017-12-31;100.00
鄱阳县恒基建材有限公司;-;2017-12-31;100.00
江西昊鼎商品混凝土有限公司;-;2017-12-31;100.00
湖口县万年青商砼有限公司;-;2017-12-31;100.00
江西立成混凝土有限公司;-;2017-12-31;100.00
鄱阳县恒泰商品混凝土有限公司;-;2017-12-31;100.00
余干县商砼建材有限公司;-;2017-12-31;100.00
九江佰力混凝土有限公司;-;2017-12-31;100.00
九江广德新型材料有限公司;-;2017-12-31;100.00
海南华才建材有限公司;-;2017-12-31;100.00
江西德安万年青水泥有限公司;-;2017-12-31;100.00
福建福清万年青水泥有限公司;-;2017-12-31;90.00
江西万年青电子有限公司;-;2017-12-31;75.00
南昌万年青商砼有限公司;-;2017-12-31;70.00
南昌万年青水泥有限责任公司;-;2017-12-31;68.00
江西赣州万年青新型材料有限公司;-;2017-12-31;66.67
江西东鑫混凝土有限公司;-;2017-12-31;65.00
江西锦溪塑料制品有限公司;-;2017-12-31;58.12
江西黄金埠万年青水泥有限责任公司;-;2017-12-31;58.00
江西锦溪建材有限公司;-;2017-12-31;51.00
江西南方万年青水泥有限公司;-;2017-12-31;50.00
