参控股名称;股票代码;报告期;持股比例(%)
上海梅林(香港)有限公司;-;2017-12-31;100.00
上海市食品进出口有限公司;-;2017-12-31;100.00
上海爱森肉食品有限公司;-;2017-12-31;100.00
上海鼎牛饲料有限公司;-;2017-12-31;100.00
上海德牛食品有限公司;-;2017-12-31;100.00
上海乳品培训研究中心有限公司;-;2017-12-31;100.00
上海奶牛研究所有限公司;-;2017-12-31;100.00
上海牛奶集团金博奶牛科技发展有限公司;-;2017-12-31;100.00
上海佳辰牧业有限公司;-;2017-12-31;100.00
上海冠生园食品有限公司;-;2017-12-31;100.00
上海梅林食品有限公司;-;2017-12-31;100.00
上海梅林股份(绵阳)有限公司;-;2017-12-31;100.00
上海正广和网上购物有限公司;-;2017-12-31;100.00
上海爱森肉品食品有限公司;-;2015-12-31;100.00
上海梅林罐头食品厂有限公司;-;2017-12-31;98.00
上海梅林正广和重庆食品有限公司;-;2017-06-07;84.55
上海牛奶棚食品有限公司;-;2017-12-31;66.27
上海申美饮料食品有限公司饮料主剂部;-;2017-12-31;65.00
上海梅林(荣成)食品有限公司;-;2017-12-31;64.71
江苏省苏食肉品有限公司;-;2017-12-31;60.00
江苏淮安苏食肉品有限公司;-;2017-12-31;60.00
上海联豪食品有限公司;-;2017-12-31;60.00
上海牧仙神牛食品发展有限公司;-;2017-12-31;60.00
上海和吉食品有限公司;-;2017-12-31;52.00
连云港金正牧业有限公司;-;2017-12-31;51.00
连云港市绿缘牧业有限公司;-;2017-12-31;51.00
江苏梅林畜牧有限公司;-;2017-12-31;51.00
上海正广和饮用水有限公司;-;2017-12-31;50.00
Silver Fern Farms Beef Limited;-;2016-12-12;50.00
上海申美饮料食品有限公司可口可乐装瓶部;-;2017-12-31;26.00
