参控股名称;股票代码;报告期;持股比例(%)
南京环境再生能源有限公司;-;2017-12-31;100.00
上海环境虹口固废中转运营有限公司;-;2017-12-31;100.00
上海环杨固废中转运营有限公司;-;2017-12-31;100.00
上海黄浦环城固废转运有限公司;-;2017-12-31;100.00
洛阳环洛再生能源有限公司;-;2017-12-31;100.00
新昌县环新再生能源有限公司;-;2017-12-31;100.00
上海环境工程建设项目管理有限公司;-;2017-12-31;100.00
上海环境集团振环实业有限公司;-;2017-12-31;100.00
上海港汇投资发展有限公司;-;2017-12-31;100.00
上海市环境工程设计科学研究院有限公司;-;2017-12-31;100.00
上海金山环境再生能源有限公司;-;2017-12-31;100.00
青岛环境再生能源有限公司;-;2017-12-31;100.00
成都威斯特再生能源有限公司;-;2017-12-31;100.00
上海环境集团再生能源运营管理有限公司;-;2017-12-31;100.00
威海环境再生能源有限公司;-;2017-12-31;100.00
上海环境浦东固废中转运营有限公司;-;2017-12-31;100.00
漳州环境再生能源有限公司;-;2017-12-31;100.00
上海阳晨排水运营有限公司;-;2017-12-31;100.00
上海阳龙投资咨询有限公司;-;2017-12-31;100.00
宁波市奉化区环境能源利用有限公司;-;2017-12-31;100.00
上海天马再生能源有限公司;-;2017-12-31;99.55
威海环文再生能源有限公司;-;2017-12-31;99.00
宁波市鄞州区绿州能源利用有限公司;-;2017-12-31;92.50
成都温江区阳晨水质净化有限公司;-;2017-12-31;90.00
成都市温江区新阳晨污水处理有限公司;-;2017-12-31;90.00
蒙城环蒙再生能源有限公司;-;2017-12-31;90.00
上海城瀛废弃物处置有限公司;-;2017-12-31;80.00
上海东石塘再生能源有限公司;-;2017-12-31;80.00
上海城投瀛洲生活垃圾处置有限公司;-;2017-12-31;70.00
太原环晋再生能源有限公司;-;2017-12-31;65.00
