参控股名称;股票代码;报告期;持股比例(%)
深运工贸翠苑旅店;-;2017-06-30;100.00
东旭鸿基地产集团有限公司;-;2017-06-30;100.00
深圳市鸿基物业管理有限公司;-;2017-06-30;100.00
深圳市龙岗鸿基发展有限公司;-;2017-06-30;100.00
东莞市宜久房地产开发有限公司;-;2017-06-30;100.00
东莞宝安鸿基房地产开发有限公司;-;2017-06-30;100.00
湖南宝安鸿基房地产开发有限公司;-;2017-06-30;100.00
惠东县宝安鸿基房地产开发有限公司;-;2017-06-30;100.00
惠州市宝安房地产开发有限公司;-;2017-06-30;100.00
东旭新能源投资有限公司;-;2017-06-30;100.00
西藏旭阳投资管理有限公司;-;2017-06-30;100.00
旭能技术服务有限责任公司;-;2017-06-30;100.00
东旭蓝天置业(北京)有限公司;-;2017-06-30;100.00
星景生态环保科技(苏州)有限公司;-;2017-06-30;100.00
东旭储能(北京)科技有限公司;-;2017-06-30;100.00
惠东县蓝湾酒店管理有限公司;-;2017-06-30;100.00
西安深鸿基房地产开发有限公司;-;2015-12-31;100.00
深圳市龙岗鸿基房地产开发有限公司;-;2015-12-31;100.00
深圳市鸿基物流有限公司;-;2015-12-31;100.00
陕西宝安鸿基房地产开发有限公司;-;2015-12-31;100.00
深圳市鸿基房地产有限公司;-;2015-12-31;100.00
香港鸿业发展有限公司;-;2017-06-30;95.00
深圳市鸿南建筑机械工程有限公司;-;2017-06-30;90.00
福建升通网络传媒有限公司;-;2017-06-30;90.00
深圳市鸿基广源贸易有限公司;-;2017-06-30;80.00
西安鸿腾生物科技有限责任公司;-;2017-06-30;70.00
旭农农业发展有限公司;-;2017-06-30;70.00
深圳市凯方实业发展有限公司;-;2015-12-31;70.00
福建东南广播电视网络有限公司;-;2016-09-24;38.69
深圳市宝鹏物流有限公司;-;2015-12-31;10.00
