参控股名称;股票代码;报告期;持股比例(%)
Total Transform Group Limited;-;2017-12-31;100.00
中航兴业有限公司;1110!1.HK;2017-12-31;100.00
北京金凤凰人力资源服务有限公司;-;2017-12-31;100.00
国航进出口有限公司;-;2017-12-31;100.00
浙江航空服务有限公司;-;2017-12-31;100.00
上海国航航空服务有限公司;-;2017-12-31;100.00
国航香港发展有限公司;-;2017-12-31;95.00
大连航空有限责任公司;-;2017-12-31;80.00
中国国际航空内蒙古有限公司;-;2017-12-31;80.00
昆明航空有限公司;-;2017-12-31;80.00
北京飞机维修工程有限公司;-;2017-12-31;75.00
澳门航空股份有限公司;-;2017-12-31;66.90
四川国际航空发动机维修有限公司;-;2017-12-31;60.00
成都富凯飞机工程服务有限公司;-;2017-12-31;60.00
中国国际货运航空有限公司;-;2017-12-31;51.00
深圳航空有限责任公司;-;2017-12-31;51.00
中国航空集团财务有限责任公司;-;2017-12-31;51.00
北京航空有限责任公司;-;2017-12-31;51.00
北京集安航空资产管理有限公司;-;2017-12-31;50.00
山东航空集团有限公司;-;2017-12-31;49.40
Menzies Macau Airport Services Limited;-;2017-12-31;41.00
云南空港飞机维修服务有限公司;-;2017-12-31;40.00
上海浦东国际机场西区公共货运站有限公司;-;2017-12-31;39.00
成都民航西南凯亚有限责任公司;-;2017-12-31;35.00
Sky Works Capital Asia Ltd.;-;2017-12-31;33.33
西藏航空有限公司;-;2017-12-31;31.00
国泰航空有限公司;0293.HK;2017-12-31;29.99
重庆民航凯亚信息技术有限公司;-;2017-12-31;24.50
上海国际机场地面服务有限公司;-;2017-12-31;24.00
山东航空股份有限公司;200152.SZ;2017-12-31;22.80
