参控股名称;股票代码;报告期;持股比例(%)
奉化市溪口花园酒店;-;2017-12-31;100.00
City Island Developments Limited;-;2017-12-31;100.00
太平洋保险养老产业投资管理有限责任公司;-;2017-12-31;100.00
中国太平洋保险(香港)有限公司;-;2017-12-31;100.00
上海太保房地产有限公司;-;2017-12-31;100.00
太平洋保险在线服务科技有限公司;-;2017-12-31;100.00
天津隆融置业有限公司;-;2017-12-31;100.00
上海南山居徐虹养护院有限公司;-;2017-12-31;100.00
中国太平洋财产保险股份有限公司;-;2016-12-31;98.50
中国太平洋人寿保险股份有限公司;-;2016-12-31;98.29
宁波至璘投资管理合伙企业(有限合伙);-;2017-12-31;91.22
太平洋资产管理有限责任公司;-;2017-12-31;80.00
太保安联健康保险股份有限公司;-;2016-12-31;77.05
长江养老保险股份有限公司;-;2017-12-31;62.16
安信农业保险股份有限公司;-;2017-12-31;52.13
太平洋裕利安怡保险销售有限责任公司;-;2017-12-31;50.00
中国太保投资管理(香港)有限公司;-;2017-12-31;49.00
太颐(上海)信息技术有限公司;-;2017-12-31;48.00
上海聚车信息科技有限公司;-;2017-12-31;40.80
太积(上海)信息技术有限公司;-;2017-12-31;40.00
上海和基企业管理合伙企业(有限合伙);-;2017-12-31;39.21
上海滨江祥瑞投资建设有限责任公司;-;2017-12-31;35.70
爱助(上海)信息科技有限公司;-;2017-12-31;35.00
上海达保贵生信息科技股份有限公司;-;2017-12-31;34.00
中道汽车救援产业有限公司;-;2017-12-31;33.60
杭州大鱼网络科技有限公司;-;2017-12-31;33.33
得道车联网络科技(上海)有限公司;-;2017-12-31;25.00
上海市质子重离子医院有限公司;-;2017-12-31;20.00
上海新共赢信息科技有限公司;-;2017-12-31;8.33
