参控股名称;股票代码;报告期;持股比例(%)
长城计算机软件与系统有限公司;-;2017-12-31;100.00
北京长城软件信息技术有限公司;-;2017-12-31;100.00
宁波中软信息服务有限公司;-;2017-12-31;100.00
中国计算机软件与技术服务(香港)有限公司;-;2017-12-31;100.00
北京长荣发科技发展有限公司;-;2017-12-31;100.00
大连中软软件有限公司计算机培训中心;-;2017-12-31;100.00
上海中标凌巧软件科技有限公司;-;2017-12-31;100.00
中软信息服务有限公司;-;2017-12-31;98.75
中软东京株式会社;-;2017-12-31;93.02
中软科技创业投资有限公司;-;2017-12-31;92.00
大连中软软件有限公司;-;2017-12-31;80.00
深圳市中软创新信息系统有限公司;-;2017-12-31;72.50
广州中软信息技术有限公司;-;2017-12-31;70.25
上海中软计算机系统有限公司;-;2017-12-31;70.00
南京中软软件与技术服务有限公司;-;2017-12-31;70.00
北京中软万维网络技术有限公司;-;2017-12-31;70.00
中软信息系统工程有限公司;-;2017-12-31;65.30
艾弗世(苏州)专用设备股份有限公司;-;2017-12-31;63.00
中软智通(唐山)科技有限公司;-;2017-12-31;60.00
北京中软融鑫计算机系统工程有限公司;-;2017-12-31;59.09
中标软件有限公司;-;2017-12-31;50.00
北京中软巨人科技有限公司;-;2017-12-31;49.00
杭州中软安人网络通信股份有限公司;835963.OC;2017-12-31;45.00
天津麒麟信息技术有限公司;-;2017-12-31;40.00
武汉达梦数据库有限公司;-;2017-12-31;33.42
四川中软科技有限公司;-;2017-12-31;27.96
