参控股名称;股票代码;报告期;持股比例(%)
和泽生物科技有限公司;-;2017-06-30;100.00
中源诗丹赛尔(天津)化妆品公司;-;2017-06-30;100.00
上海望春花外高桥经济发展有限公司;-;2017-06-30;100.00
济生(上海)投资管理有限公司;-;2017-06-30;100.00
上海执诚生物科技股份有限公司;-;2017-06-30;100.00
中源药业有限公司;-;2017-06-30;100.00
Vcan Bio USA Co., Ltd.;-;2017-06-30;100.00
Hebecell Corp.;-;2017-06-30;100.00
天津鸿港投资有限公司;-;2017-06-30;100.00
中源协和生物细胞存储服务(天津)有限公司;-;2017-06-30;100.00
Vcanbio Center For Translational Biotechno logy Corp.;-;2017-06-30;100.00
中源协和基因科技有限公司;-;2017-06-30;95.00
协和干细胞基因工程有限公司;-;2017-06-30;90.00
广东中源顺创生物科技有限公司;-;2017-06-30;83.33
重庆市细胞生物工程技术有限公司;-;2017-06-30;80.00
中源协和(甘肃)细胞基因工程有限公司;-;2017-06-30;67.00
浙江赛尚医药科技有限公司;-;2017-06-30;67.00
英威福赛生物技术有限公司;-;2017-06-30;60.00
中源华泽(天津)科技有限公司;-;2017-06-30;51.00
北京泛生子基因科技有限公司;-;2018-02-06;13.97
万方城镇投资发展股份有限公司;000638.SZ;2016-09-30;0.28
