参控股名称;股票代码;报告期;持股比例(%)
江西中航地产有限公司;-;2017-12-31;100.00
昆山市中航地产有限公司;-;2017-12-31;100.00
深圳市中航城投资有限公司;-;2017-12-31;100.00
中航城置业(上海)有限公司;-;2017-12-31;100.00
九江市九方商业管理有限公司;-;2017-12-31;100.00
深圳市中航房地产发展有限公司;-;2017-12-31;100.00
深圳市中航工业地产投资发展有限公司;-;2017-12-31;100.00
中航城置业(昆山)有限公司;-;2017-12-31;100.00
岳阳中航地产有限公司;-;2017-12-31;100.00
天津格兰云天投资发展有限公司;-;2017-12-31;100.00
深圳市中航九方资产管理有限公司;-;2017-12-31;100.00
中航物业管理有限公司;-;2017-12-31;100.00
赣州市航逸酒店管理有限公司;-;2017-12-31;100.00
新疆中航投资有限公司;-;2016-10-01;100.00
成都航逸置业有限公司;-;2016-10-01;100.00
江西中航地产有限责任公司;-;2016-08-27;100.00
成都航逸科技有限公司;-;2015-12-31;100.00
江苏中航地产有限公司;-;2015-12-31;100.00
岳阳建桥投资置业有限公司;-;2015-12-31;100.00
中航地产(香港)有限公司;-;2015-12-31;100.00
九江中航城地产开发有限公司;-;2015-12-31;100.00
深圳市中航主题地产有限公司;-;2015-12-31;100.00
惠州市中航工业地产投资发展有限公司;-;2017-12-31;85.00
惠州市谟岭新型产业园开发建设有限公司;-;2017-12-31;80.00
赣州中航置业有限公司;-;2015-12-31;79.17
贵阳中航房地产开发有限公司;-;2017-12-31;70.00
深圳中航观澜地产发展有限公司;-;2017-12-31;51.00
龙岩紫金中航房地产开发有限公司;-;2017-12-31;51.00
惠东县康宏发展有限公司;-;2017-12-31;51.00
深圳市老大昌酒楼有限公司;-;2017-12-31;51.00
