参控股名称;股票代码;报告期;持股比例(%)
山东九州通医药有限公司;-;2017-06-30;105.49
湖北九州通供应链管理有限公司;-;2017-06-30;100.00
上海九州通医药有限公司;-;2017-06-30;100.00
广东九州通医药有限公司;-;2017-06-30;100.00
河南九州通医药有限公司;-;2017-06-30;100.00
新疆九州通医药有限公司;-;2017-06-30;100.00
山东九州通达医药有限公司;-;2017-06-30;100.00
福建九州通医药有限公司;-;2017-06-30;100.00
重庆九州通医药有限公司;-;2017-06-30;100.00
兰州九州通医药有限公司;-;2017-06-30;100.00
湖北步长九州通医药有限公司;-;2017-06-30;100.00
九州通集团应城医药有限公司;-;2017-06-30;100.00
江苏九州通医药有限公司;-;2017-06-30;100.00
黑龙江九州通医药有限公司;-;2017-06-30;100.00
库尔勒九州通医药有限公司;-;2017-06-30;100.00
阿克苏九州通医药有限公司;-;2017-06-30;100.00
荆州九州通医药有限公司;-;2017-06-30;100.00
襄阳九州通医药有限公司;-;2017-06-30;100.00
宜昌九州通医药有限公司;-;2017-06-30;100.00
恩施九州通医药有限公司;-;2017-06-30;100.00
十堰九州通医药有限公司;-;2017-06-30;100.00
北京九州通医药有限公司;-;2017-06-30;100.00
安徽九州通医药有限公司;-;2017-06-30;100.00
贵州九州通医药有限公司;-;2017-06-30;100.00
湖南九州通医药有限公司;-;2017-06-30;100.00
九州通医疗器械集团有限公司;-;2017-06-30;100.00
好药师大药房连锁有限公司;-;2017-06-30;100.00
西藏三通医药科技有限公司;-;2017-06-30;100.00
贵州九州通达医药有限公司;-;2017-06-30;100.00
陕西九州通医药有限公司;-;2017-06-30;100.00
