参控股名称;股票代码;报告期;持股比例(%)
上海仪电电子信息技术开发有限公司;-;2017-12-31;100.00
上海海昌国际有限公司;-;2017-12-31;100.00
上海仪电电子工程管理有限公司;-;2017-12-31;100.00
上海广联电子有限公司;-;2017-12-31;100.00
上海广电通信技术有限公司;-;2017-12-31;100.00
上海仪电电子光显技术有限公司;-;2017-12-31;100.00
上海仪电电子多媒体有限公司;-;2017-12-31;100.00
上海仪电鑫森科技发展有限公司;-;2017-12-31;100.00
上海宝通汎球电子有限公司;-;2017-12-31;100.00
上海南洋万邦软件技术有限公司;-;2017-12-31;100.00
上海塞嘉电子科技有限公司;-;2017-12-31;100.00
上海龙放建筑智能系统工程有限公司;-;2017-12-31;100.00
北京信诺时代科技股份有限公司;870060.OC;2017-12-31;100.00
上海美多通信设备有限公司;-;2017-12-31;90.00
上海仪电科学仪器股份有限公司;-;2017-12-31;81.36
上海扬子江投资发展有限公司;-;2017-12-31;81.19
上海科技网络通信有限公司;-;2017-12-31;80.00
上海仪电信息网络有限公司;-;2017-12-31;78.22
上海云瀚科技股份有限公司;-;2017-12-31;75.00
内蒙古云赛智城信息技术有限公司;-;2017-12-31;70.00
上海仪电金槐显示技术有限公司;-;2017-12-31;51.00
上海卫生远程医学网络有限公司;-;2017-12-31;49.00
上海松下微波炉有限公司;-;2017-12-31;40.00
杭州智诺科技股份有限公司;837181.OC;2017-12-31;37.27
上海仪电溯源科技有限公司;-;2017-12-31;35.00
