参控股名称;股票代码;报告期;持股比例(%)
山西亚宝医药经销有限公司;-;2017-06-30;100.00
亚宝药业太原制药有限公司;-;2017-06-30;100.00
北京亚宝国际贸易有限公司;-;2017-06-30;100.00
亚宝药业四川制药有限公司;-;2017-06-30;100.00
太原亚宝医药有限公司;-;2017-06-30;100.00
北京亚宝生物药业有限公司;-;2017-06-30;100.00
北京亚宝投资管理有限公司;-;2017-06-30;100.00
新疆亚宝红花发展有限公司;-;2017-06-30;100.00
山西亚宝医药物流配送有限公司;-;2017-06-30;100.00
亚宝美国药业有限公司;-;2017-06-30;100.00
亚宝药业贵阳制药有限公司;-;2017-06-30;75.00
上海清松制药有限公司;-;2017-06-30;75.00
亚宝北中大(北京)制药有限公司;-;2017-06-30;70.00
苏州亚宝药物研发有限公司;-;2017-06-30;70.00
北京庆和春医药科技有限公司;-;2017-06-30;51.00
