参控股名称;股票代码;报告期;持股比例(%)
上海诺德生物实业有限公司;-;2017-12-31;100.00
昂立国际贸易(上海)有限公司;-;2017-12-31;100.00
昂立国际投资有限公司;-;2017-12-31;100.00
上海昂立广告有限公司;-;2017-12-31;100.00
上海昂立实业有限公司;-;2017-12-31;100.00
上海交大昂立生命科技发展有限公司;-;2017-12-31;97.00
上海交大昂立生物制品销售有限公司;-;2017-12-31;90.00
上海交大昂立保健品有限公司;-;2017-12-31;90.00
上海昂立同科经济发展有限公司;-;2016-08-26;71.43
上海昂立房地产开发有限公司;-;2017-12-31;50.94
上海昂泰投资管理有限公司;-;2017-12-31;45.95
上海徐汇昂立小额贷款股份有限公司;-;2017-12-31;30.00
上海慧盛创业投资有限公司;-;2017-12-31;20.00
湖南金农生物资源股份有限公司;-;2017-12-31;15.67
中国泰凌医药集团有限公司;1011.HK;2017-12-31;11.28
兴业证券股份有限公司;601377.SH;2016-03-31;1.30
