参控股名称;股票代码;报告期;持股比例(%)
包头伊利乳业有限责任公司;-;2017-06-30;100.00
内蒙古领鲜食品有限责任公司;-;2017-06-30;100.00
内蒙古青山乳业有限责任公司;-;2017-06-30;100.00
肇东市伊利乳业有限责任公司;-;2017-06-30;100.00
内蒙古伊利企业发展有限责任公司;-;2017-06-30;100.00
西安伊利泰普克饮品有限公司;-;2017-06-30;100.00
林甸伊利乳业有限责任公司;-;2017-06-30;100.00
齐齐哈尔伊利乳业有限责任公司;-;2017-06-30;100.00
赤峰伊利乳业有限责任公司;-;2017-06-30;100.00
定州伊利乳业有限责任公司;-;2017-06-30;100.00
伊利苏州乳业有限责任公司;-;2017-06-30;100.00
济南伊利乳业有限责任公司;-;2017-06-30;100.00
内蒙古金川伊利乳业有限责任公司;-;2017-06-30;100.00
内蒙古金山乳业有限责任公司;-;2017-06-30;100.00
佛山伊利乳业有限责任公司;-;2017-06-30;100.00
合肥伊利乳业有限责任公司;-;2017-06-30;100.00
湖北黄冈伊利乳业有限责任公司;-;2017-06-30;100.00
内蒙古盛泰投资有限公司;-;2017-06-30;100.00
成都伊利乳业有限责任公司;-;2017-06-30;100.00
乌鲁木齐伊利食品有限责任公司;-;2017-06-30;100.00
河南伊利乳业有限公司;-;2017-06-30;100.00
阜新伊利乳业有限责任公司;-;2017-06-30;100.00
多伦县伊利乳业有限责任公司;-;2017-06-30;100.00
内蒙古金海伊利乳业有限责任公司;-;2017-06-30;100.00
锡林浩特伊利乳品有限责任公司;-;2017-06-30;100.00
滦县伊利乳业有限责任公司;-;2017-06-30;100.00
兰州伊利乳业有限责任公司;-;2017-06-30;100.00
杜尔伯特金山乳品有限责任公司;-;2017-06-30;100.00
伊利国际发展有限公司;-;2017-06-30;100.00
天津伊利乳业有限责任公司;-;2017-06-30;100.00
