参控股名称;股票代码;报告期;持股比例(%)
天诚实业有限公司;-;2017-12-31;100.00
深圳市风雷电力投资有限公司;-;2017-12-31;100.00
深圳太太生物科技有限公司;-;2017-12-31;100.00
深圳市喜悦实业有限公司;-;2017-12-31;100.00
深圳太太药业有限公司;-;2017-12-31;100.00
深圳市海滨制药有限公司;-;2017-12-31;95.03
深圳太太云商科技有限公司;-;2017-12-31;80.00
健康元日用保健品有限公司;-;2017-12-31;80.00
深圳太太基因工程有限公司;-;2017-12-31;75.00
焦作健康元生物制品有限公司;-;2017-12-31;75.00
珠海健康元生物医药有限公司;-;2017-12-31;75.00
上海方予健康医药科技有限公司;-;2017-12-31;70.00
健康元(江苏)生物科技有限公司;-;2017-12-31;70.00
焦作金冠嘉华电力有限公司;-;2017-12-31;49.00
山东健康药业有限公司;-;2017-12-31;24.00
丽珠医药集团股份有限公司;000513.SZ;2018-03-31;23.68
中国银河证券股份有限公司;601881.SH;2018-03-31;0.29
Health Holdings Ltd;-;2017-12-31;0.00
香港健康药业有限公司;-;2017-12-31;0.00
健康药业有限公司;-;2017-12-31;0.00
深圳太子行保健品有限公司;-;2017-12-31;0.00
深圳市云大喜悦生物技术有限公司;-;2017-12-31;0.00
广州市喜悦实业有限公司;-;2017-12-31;0.00
中山市仁和保健品有限公司;-;2017-12-31;0.00
深圳捷康保健有限公司;-;2017-12-31;0.00
Health Investment Holdings Ltd.;-;2017-12-31;0.00
新乡海滨药业有限公司;-;2017-12-31;0.00
健康药业(中国)有限公司;-;2017-12-31;0.00
Joincare Pharmaceutical Group Industry Co., Ltd.;-;2017-12-31;0.00
Joincare Pharmaceutical Group Industry.Co.Ltd.;-;2017-12-31;0.00
