参控股名称;股票代码;报告期;持股比例(%)
光环云谷科技有限公司;-;2017-12-31;100.00
光环新网(上海)信息服务有限公司;-;2017-12-31;100.00
北京德信致远科技有限公司;-;2017-12-31;100.00
西安博凯创达数字科技有限公司;-;2017-12-31;100.00
北京瑞科新网科技有限公司;-;2017-12-31;100.00
光环新网国际有限公司;-;2017-12-31;100.00
北京中金云网科技有限公司;-;2017-12-31;100.00
北京无双科技有限公司;-;2017-12-31;100.00
光环有云(香港)网络科技有限公司;-;2017-12-31;100.00
北京亚逊新网科技有限公司;-;2017-12-31;100.00
光环新网(宁夏)云服务有限公司;-;2017-12-31;100.00
北京光环金网科技有限公司;-;2017-12-31;51.00
北京长城光环宽带网络技术有限公司;-;2017-12-31;49.00
陕西广电新网云服务有限公司;-;2017-12-31;49.00
光环有云(北京)网络服务有限公司;-;2017-12-31;45.00
北京光环凯旋管理咨询有限公司;-;2017-12-31;40.00
北京科信盛彩云计算有限公司(废弃);-;2017-11-14;15.00
北京华爱光环科技有限公司;-;2017-12-31;15.00
北京科信盛彩云计算有限公司;-;2017-12-31;15.00
