参控股名称;股票代码;报告期;持股比例(%)
南京新华书店有限责任公司;-;2017-06-30;100.00
无锡新华书店有限责任公司;-;2017-06-30;100.00
徐州新华书店有限责任公司;-;2017-06-30;100.00
常州新华书店有限责任公司;-;2017-06-30;100.00
苏州新华书店有限责任公司;-;2017-06-30;100.00
南通新华书店有限责任公司;-;2017-06-30;100.00
连云港新华书店有限责任公司;-;2017-06-30;100.00
淮安新华书店有限责任公司;-;2017-06-30;100.00
盐城新华书店有限责任公司;-;2017-06-30;100.00
扬州新华书店有限责任公司;-;2017-06-30;100.00
镇江新华书店有限责任公司;-;2017-06-30;100.00
泰州新华书店有限责任公司;-;2017-06-30;100.00
宿迁新华书店有限责任公司;-;2017-06-30;100.00
南京凤凰新华书店有限责任公司;-;2017-06-30;100.00
南京江宁新华书店有限责任公司;-;2017-06-30;100.00
南京浦口新华书店有限责任公司;-;2017-06-30;100.00
南京六合新华书店有限责任公司;-;2017-06-30;100.00
溧水新华书店有限责任公司;-;2017-06-30;100.00
高淳新华书店有限责任公司;-;2017-06-30;100.00
江阴新华书店有限责任公司;-;2017-06-30;100.00
宜兴新华书店有限责任公司;-;2017-06-30;100.00
丰县新华书店有限责任公司;-;2017-06-30;100.00
沛县新华书店有限责任公司;-;2017-06-30;100.00
睢宁新华书店有限责任公司;-;2017-06-30;100.00
邳州新华书店有限责任公司;-;2017-06-30;100.00
新沂新华书店有限责任公司;-;2017-06-30;100.00
常熟新华书店有限责任公司;-;2017-06-30;100.00
张家港新华书店有限责任公司;-;2017-06-30;100.00
太仓新华书店有限责任公司;-;2017-06-30;100.00
昆山新华书店有限责任公司;-;2017-06-30;100.00
