参控股名称;股票代码;报告期;持股比例(%)
苏州创业亿康信息科技有限公司;-;2017-12-31;100.00
上海创航软件有限公司;-;2017-12-31;100.00
创业软件南京有限公司;-;2017-12-31;100.00
重庆创易康软件有限公司;-;2017-12-31;100.00
天津创津科技有限公司;-;2017-12-31;100.00
中山市杭创科技有限公司;-;2017-12-31;100.00
宁海杭创网络科技有限公司;-;2017-12-31;100.00
杭州合美物业管理有限公司;-;2017-12-31;100.00
杭州鼎泰医康科技有限公司;-;2017-12-31;100.00
杭州联旗科技有限公司;-;2017-12-31;100.00
杭州博泰信息技术服务有限公司;-;2017-12-31;100.00
杭州卓腾信息技术有限公司;-;2017-12-31;100.00
杭州美诺泰科科技有限公司;-;2018-01-25;100.00
新疆创什信息科技有限公司;-;2017-12-31;85.00
广东中拓信息技术有限公司;-;2017-12-31;80.00
中山市蓝天电脑有限公司;-;2017-12-31;80.00
浙江医康数据科技研究院有限公司;-;2017-12-31;78.00
杭州惟勤科技有限公司;-;2017-12-31;51.00
杭州梅清数码科技有限公司;201073.SEE;2017-12-31;51.00
浙江创源环境科技股份有限公司;834269.OC;2017-12-31;47.50
