参控股名称;股票代码;报告期;持股比例(%)
利群集团青岛利群商厦有限公司;-;2017-12-31;100.00
利群集团青岛四方购物广场有限公司;-;2017-12-31;100.00
利群集团青岛海琴购物广场有限公司;-;2017-12-31;100.00
利群集团城阳购物广场有限公司;-;2017-12-31;100.00
利群集团青岛瑞泰购物广场有限公司;-;2017-12-31;100.00
利群集团胶州商厦有限公司;-;2017-12-31;100.00
利群集团胶州购物广场有限公司;-;2017-12-31;100.00
利群集团胶南商厦有限公司;-;2017-12-31;100.00
利群集团胶南家乐城购物广场有限公司;-;2017-12-31;100.00
利群集团即墨商厦有限公司;-;2017-12-31;100.00
利群集团莱西购物广场有限公司;-;2017-12-31;100.00
青岛利群超市有限公司;-;2017-12-31;100.00
利群集团平度购物中心有限公司;-;2017-12-31;100.00
青岛福祥通电子商务有限公司;-;2017-12-31;100.00
青岛金鼎广场有限公司;-;2017-12-31;100.00
青岛利源舜天商贸有限公司;-;2017-12-31;100.00
利群集团连云港商业广场有限公司;-;2017-12-31;100.00
利群集团诸城商厦有限公司;-;2017-12-31;100.00
利群集团胶南购物中心有限公司;-;2017-12-31;100.00
利群集团青岛前海购物广场有限公司;-;2017-12-31;100.00
利群集团诸城购物广场有限公司;-;2017-12-31;100.00
利群集团威海购物广场有限公司;-;2017-12-31;100.00
利群集团荣成购物广场有限公司;-;2017-12-31;100.00
利群集团乳山购物广场有限公司;-;2017-12-31;100.00
利群集团文登购物广场有限公司;-;2017-12-31;100.00
利群集团蓬莱购物广场有限公司;-;2017-12-31;100.00
利群集团莱州购物广场有限公司;-;2017-12-31;100.00
利群集团日照购物广场有限公司;-;2017-12-31;100.00
利群集团日照瑞泰国际商城有限公司;-;2017-12-31;100.00
利群集团淄博购物广场有限公司;-;2017-12-31;100.00
