参控股名称;股票代码;报告期;持股比例(%)
杭州中美华东制药有限公司;-;2017-12-31;100.00
杭州华东武林大药房有限公司;-;2017-12-31;100.00
华东医药宁波销售有限公司;-;2017-12-31;100.00
杭州杏国健康管理有限公司;-;2017-12-31;100.00
杭州华晟投资管理有限公司;-;2017-12-31;100.00
华东医药供应链管理(杭州)有限公司;-;2017-12-31;100.00
华东医药绍兴有限公司;-;2017-12-31;100.00
华东医药广东药业有限公司;-;2017-12-31;100.00
华东医药湖州有限公司;-;2017-12-31;100.00
杭州悦行优品健康管理有限公司;-;2017-12-31;100.00
华东医药(杭州)生物制品有限公司;-;2017-12-31;100.00
杭州悦可医疗美容诊所有限公司;-;2017-12-31;100.00
杭州采薇坊香文化创意有限公司;-;2017-12-31;100.00
杭州华东医药化学试剂有限公司;-;2017-12-31;100.00
华东医药(西安)博华制药有限公司;-;2015-12-31;100.00
华东医药(杭州)百令生物科技有限公司;-;2015-12-31;100.00
杭州华东大药房连锁有限公司;-;2015-12-31;100.00
华东医药德清天润有限公司;-;2015-12-31;95.52
华东医药存德(舟山)有限公司;-;2017-12-31;80.00
舟山存德堂医药零售有限公司;-;2017-12-31;80.00
华东医药岱山有限公司;-;2017-12-31;67.40
杭州华东中药饮片有限公司;-;2017-12-31;60.00
华东医药丽水有限公司;-;2017-12-31;60.00
华东宁波医药有限公司;-;2017-12-31;51.00
华东医药医疗器械科技(杭州)有限公司;-;2017-12-31;51.00
华东医药温州有限公司;-;2017-12-31;40.00
杭州汤养元医药有限公司;-;2015-12-31;30.00
杭州九源基因工程有限公司;-;2015-12-31;21.06
