参控股名称;股票代码;报告期;持股比例(%)
珠海华发房地产开发有限公司;-;2017-12-31;100.00
珠海华发商用房产管理有限公司;-;2017-12-31;100.00
沈阳华纳置业有限公司;-;2017-12-31;100.00
沈阳华耀置业有限公司;-;2017-12-31;100.00
武汉华发置业有限公司;-;2017-12-31;100.00
成都华发投资有限公司;-;2017-12-31;100.00
沈阳华远置业有限公司;-;2017-12-31;100.00
沈阳华荣置业有限公司;-;2017-12-31;100.00
威海华发投资有限公司;-;2017-12-31;100.00
荣成华发房地产开发有限公司;-;2017-12-31;100.00
沈阳华畅置业有限公司;-;2017-12-31;100.00
沈阳华博置业有限公司;-;2017-12-31;100.00
沈阳华壤置业有限公司;-;2017-12-31;100.00
珠海华发文化俱乐部;-;2017-12-31;100.00
华发实业(香港)有限公司;-;2017-12-31;100.00
广西华明投资有限公司;-;2017-12-31;100.00
珠海华茂房地产投资顾问有限公司;-;2017-12-31;100.00
珠海华郡房产开发有限公司;-;2017-12-31;100.00
珠海市永宏基商贸有限公司;-;2017-12-31;100.00
珠海华明科技发展有限公司;-;2017-12-31;100.00
珠海市银河房地产开发有限公司;-;2017-12-31;100.00
沈阳华地商业投资有限公司;-;2017-12-31;100.00
上海铧发创盛置业有限公司;-;2017-12-31;100.00
天津华发置业有限公司;-;2017-12-31;100.00
上海铧福创盛置业有限公司;-;2017-12-31;100.00
珠海华发商业经营管理有限公司;-;2017-12-31;100.00
珠海华发城市更新投资控股有限公司;-;2017-12-31;100.00
珠海华发华宜投资控股有限公司;-;2017-12-31;100.00
中山市华发生态园房地产开发有限公司;-;2017-12-31;98.97
广西华诚房地产投资有限公司;-;2017-12-31;98.90
