参控股名称;股票代码;报告期;持股比例(%)
杭州华泰一媒文化传媒有限公司;-;2017-12-31;100.00
浙江华媒投资有限公司;-;2017-12-31;100.00
昆明市五华区云师未来培训中心;-;2017-12-31;100.00
北京文教英才科贸有限公司;-;2017-12-31;100.00
霍尔果斯中教未来教育咨询有限公司;-;2017-12-31;100.00
智明远扬教育科技(北京)有限公司;-;2017-12-31;100.00
北京领域兄弟教育咨询有限公司;-;2017-12-31;100.00
广州励耘教育科技有限公司;-;2017-12-31;100.00
杭州网络传媒有限公司;-;2017-12-31;100.00
杭州日报传媒有限公司;-;2017-12-31;100.00
杭州富阳日报传媒有限公司;-;2017-12-31;100.00
杭州萧山日报传媒有限公司;-;2017-12-31;100.00
杭州每日传媒有限公司;-;2017-12-31;100.00
杭州日报报业集团每日送电子商务有限公司;-;2017-12-31;100.00
杭州日报报业集团盛元印务有限公司;-;2017-12-31;100.00
杭州华媒企业管理有限公司;-;2017-12-31;100.00
杭州萧山萧报教育咨询有限公司;-;2017-12-31;100.00
杭州今日大江东传媒有限公司;-;2017-12-31;100.00
宁波华杭投资有限公司;-;2017-12-31;100.00
霍尔果斯东昂信息科技有限公司;-;2017-12-31;100.00
南京博彦教育科技有限公司;-;2017-12-31;100.00
杭州华媒教育科技有限公司;-;2017-12-31;100.00
贵州中教未来教育科技有限公司;-;2017-12-31;100.00
浙江都市快报控股有限公司;-;2017-12-31;100.00
浙江华媒教育科技有限公司;-;2017-12-31;100.00
浙江华媒实业有限公司;-;2017-12-31;100.00
北京产学研教育科技有限公司;-;2017-12-31;80.00
杭州都市周报传媒有限公司;-;2017-12-31;80.00
广州正索教育咨询有限公司;-;2017-12-31;70.00
智云未来教育科技(北京)有限公司;-;2017-12-31;70.00
