参控股名称;股票代码;报告期;持股比例(%)
北京华谊兄弟时代文化经纪有限公司;-;2017-12-31;100.00
华谊兄弟文化经纪有限公司;-;2017-12-31;100.00
北京华谊兄弟娱乐投资有限公司;-;2017-12-31;100.00
华谊兄弟影院投资有限公司;-;2017-12-31;100.00
华谊兄弟互娱(天津)投资有限公司;-;2017-12-31;100.00
北京华谊兄弟音乐有限公司;-;2017-12-31;100.00
华谊兄弟电影有限公司;-;2017-12-31;100.00
天津欢颜广告有限公司;-;2017-12-31;100.00
华谊兄弟点睛动画影业有限公司;-;2017-12-31;100.00
华谊兄弟(北京)文化咨询有限公司;-;2017-12-31;100.00
北京华谊兄弟创星娱乐科技股份有限公司;833568.OC;2017-12-31;71.88
北京华谊兄弟金控投资管理有限公司;-;2017-12-31;70.00
浙江东阳美拉传媒有限公司;-;2017-12-31;70.00
浙江东阳浩瀚影视娱乐有限公司;-;2017-12-31;65.80
华谊兄弟时尚(上海)文化传媒有限公司;-;2017-12-31;60.00
新圣堂(天津)文化传播有限公司;-;2017-12-31;58.00
华谊兄弟(天津)实景娱乐有限公司;-;2017-12-31;54.00
英雄互娱科技股份有限公司;430127.OC;2018-03-31;20.17
华谊影城(苏州)有限公司;-;2017-12-31;14.29
