参控股名称;股票代码;报告期;持股比例(%)
卓翼科技(香港)有限公司;-;2017-06-30;100.00
深圳市卓大精密模具有限公司;-;2017-06-30;100.00
深圳市中广物联科技有限公司;-;2017-06-30;100.00
天津市卓达科技发展有限公司;-;2017-06-30;100.00
深圳市卓翼智造有限公司;-;2017-06-30;100.00
深圳市翼飞投资有限公司;-;2017-06-30;100.00
北京朝歌数码科技股份有限公司;836119.OC;2017-06-30;20.00
中广互联(厦门)信息科技有限公司;-;2017-06-30;0.00
卓翼营销有限公司;-;2017-06-30;0.00
Double Power Technology Inc.;-;2017-06-30;0.00
Itasca Holding Ltd.;-;2017-06-30;0.00
Haxis Labs Incorporated.;-;2017-06-30;0.00
深圳市深创谷技术服务有限公司;-;2017-06-30;0.00
深创谷技术(香港)有限公司;-;2017-06-30;0.00
