参控股名称;股票代码;报告期;持股比例(%)
Sanpower International Healthcare Group Ltd;-;2017-12-31;100.00
新百(香港)有限公司;-;2017-12-31;100.00
南京新百房地产开发有限责任公司;-;2017-12-31;100.00
盐城新国房地产开发有限公司;-;2017-12-31;100.00
南京继航贸易有限公司;-;2017-12-31;100.00
南京东方商城有限责任公司;-;2017-12-31;100.00
南京新百物业资产管理有限公司;-;2017-12-31;100.00
南京瑞和商贸有限公司;-;2017-12-31;100.00
安康通控股有限公司;-;2017-12-31;100.00
南京兴宁实业有限公司;-;2017-12-31;100.00
淮南新街口百货有限公司;-;2017-07-27;100.00
Sanpower International Healthcare Group Limited;-;2017-02-04;100.00
山东省齐鲁干细胞工程有限公司;-;2017-12-31;76.00
芜湖南京新百大厦有限公司;-;2017-12-31;70.00
广州纳塔力健康管理有限公司;-;2017-12-31;35.00
Cordlife Group Ltd.;-;2017-12-31;20.55
