参控股名称;股票代码;报告期;持股比例(%)
梧州博世科环境治理有限公司;-;2017-12-31;100.00
BosscoCanadainvestmentLtd.Inc.;-;2017-12-31;100.00
RemedXRemediationServiceInc.;-;2017-12-31;100.00
PT.BOSSCOENVIRONMENTALPROTECTIONTECHNOLOGYINDONESIA;-;2017-12-31;100.00
湖南博世科环保科技有限公司;-;2017-12-31;100.00
北京博世科环保科技有限公司;-;2017-12-31;100.00
富川博世科水务有限公司;-;2017-12-31;100.00
陆川博世科生物能源科技开发有限公司;-;2017-12-31;100.00
广西博测检测技术服务有限公司;-;2017-12-31;100.00
合浦博世科环保设备制造有限公司;-;2017-12-31;100.00
陆川博发能源贸易有限公司;-;2017-12-31;100.00
博世科环保投资(香港)有限公司;-;2017-12-31;100.00
贺州市八步区博麒环保工程有限公司;-;2017-12-31;100.00
湖南博咨环境技术咨询服务有限公司;-;2017-12-31;100.00
沙洋博世科水务有限公司;-;2017-12-31;100.00
曲靖市沾益区博世科环境工程有限公司;-;2017-12-31;100.00
泗洪博世科环保设备有限公司;-;2017-12-31;100.00
宜州博世科环境综合治理有限公司;-;2017-12-31;100.00
云南博世科环保投资有限责任公司;-;2017-12-31;100.00
垣曲博世科环保工程有限公司;-;2017-12-31;100.00
广西科润环保有限责任公司;-;2018-03-08;100.00
广西博环环境咨询服务有限公司;-;2015-12-31;100.00
湖南博世科华亿环境工程有限公司+1;-;2015-12-31;100.00
花垣博世科环境治理有限公司;-;2017-12-31;99.00
花垣博世科水务有限公司;-;2017-12-31;98.26
凤山博世科水务有限公司;-;2017-12-31;95.00
凤山博世科环境投资有限公司;-;2017-12-31;95.00
上林县博世科威林环境服务有限公司;-;2017-12-31;95.00
泗洪博世科水务有限公司;-;2017-12-31;93.33
古丈博世科水务有限公司;-;2017-12-31;90.00
