参控股名称;股票代码;报告期;持股比例(%)
北京市澳星博士眼镜有限公司;-;2017-06-30;100.00
重庆市博士眼镜有限公司;-;2017-06-30;100.00
东莞市澳星博士眼镜有限公司;-;2017-06-30;100.00
昆明德勤眼镜有限公司;-;2017-06-30;100.00
广州诗琪眼镜有限公司;-;2017-06-30;100.00
成都市博士眼镜有限公司;-;2017-06-30;100.00
安徽省澳星眼镜有限公司;-;2017-06-30;100.00
南宁市普立奥眼镜有限公司;-;2017-06-30;100.00
杭州普立奥眼镜有限公司;-;2017-06-30;100.00
深圳市伯爵网络科技有限公司;-;2017-06-30;100.00
沈阳市澳星博士眼镜有限公司;-;2017-06-30;100.00
昆山市普立奥眼镜有限公司;-;2017-06-30;100.00
惠州市德勤眼镜有限公司;-;2017-06-30;100.00
无锡市普立奥眼镜有限公司;-;2017-06-30;100.00
江西省博士眼镜有限责任公司;-;2017-06-30;100.00
