参控股名称;股票代码;报告期;持股比例(%)
烟台松林食品有限公司;-;2017-12-31;100.00
招远君邦商贸有限公司;-;2017-12-31;100.00
双塔食品(香港)有限公司;-;2017-12-31;100.00
RISE PEAK TRADING LIMITED;-;2017-12-31;100.00
Shuangta Food (Canada) Manufacturing Corporation;-;2017-12-31;100.00
山东双盛万隆融资租赁有限公司;-;2017-12-31;100.00
烟台正威进出口有限公司;-;2017-12-31;100.00
烟台君兴检测技术服务有限公司;-;2017-12-31;100.00
招远君源生态农业发展有限公司;-;2017-12-31;100.00
山东瑞嘉生物科技有限公司;-;2017-12-31;70.00
招远瑞嘉生物科技有限公司;-;2017-12-31;70.00
北京益源宝食品科技有限公司;-;2017-12-31;60.00
北京双磁信息科技有限公司;-;2017-12-31;51.00
烟台圣源创业投资中心(有限合伙);-;2015-12-31;42.86
