参控股名称;股票代码;报告期;持股比例(%)
合肥百货大楼集团铜陵合百商厦有限责任公司;-;2017-12-31;100.00
安徽冠雅商贸有限公司;-;2017-12-31;100.00
合百集团黄山百大商厦有限公司;-;2017-12-31;100.00
安徽百大中央购物中心有限公司;-;2017-12-31;100.00
合肥百货大楼集团蚌埠百大购物中心有限责任公司;-;2017-12-31;100.00
合肥百大购物中心有限责任公司;-;2017-12-31;100.00
淮南百大商厦有限公司;-;2017-12-31;100.00
合肥蜀山合家福连锁超市有限公司;-;2017-12-31;100.00
黄山百大合家福连锁超市有限责任公司;-;2017-12-31;100.00
巢湖百大购物中心有限责任公司;-;2017-12-31;100.00
宿州百大农产品物流有限责任公司;-;2017-12-31;100.00
合肥周谷堆大兴农产品国际物流园有限责任公司;-;2017-12-31;100.00
合肥周谷堆康来绿农产品配送有限责任公司;-;2017-12-31;100.00
淮南百大合家福连锁超市有限责任公司;-;2017-12-31;100.00
合肥蜀山百大购物中心有限公司;-;2017-12-31;100.00
合肥周谷堆置业有限公司;-;2017-12-31;100.00
合肥百大滨湖购物中心有限责任公司;-;2017-12-31;100.00
宿州百大置业有限责任公司;-;2017-12-31;100.00
蚌埠禹会百大合家福连锁超市有限责任公司;-;2017-12-31;100.00
安徽百大易商城有限责任公司;-;2017-12-31;100.00
安徽百大合家福购物中心有限公司;-;2017-12-31;100.00
安徽百大乐普生商厦有限责任公司;-;2017-12-31;100.00
芜湖百大购物中心有限责任公司;-;2017-12-31;100.00
广德百大购物中心有限责任公司;-;2017-12-31;100.00
合肥博百劳务咨询服务有限责任公司;-;2017-12-31;100.00
合肥周谷堆商业管理有限公司;-;2017-12-31;100.00
安徽百大农产品检测科技中心有限责任公司;-;2017-12-31;100.00
蚌埠百大易商通智能物流有限责任公司;-;2017-12-31;100.00
合肥百大肥西农产品物流园有限责任公司;-;2017-12-31;100.00
黄山舟泰投资有限公司;-;2017-12-31;100.00
