参控股名称;股票代码;报告期;持股比例(%)
山东荣兴石油工程有限公司;-;2017-12-31;100.00
成都航发特种车有限公司;-;2017-12-31;100.00
广东爱纳艾曼矿业投资有限公司;-;2017-12-31;100.00
吉艾(天津)石油工程技术服务有限公司;-;2017-12-31;100.00
General Integration Singapore Pte.Ltd.;-;2017-12-31;100.00
Gilee International Trading Pte.Ltd.;-;2017-12-31;100.00
新疆吉创资产管理有限公司;-;2017-12-31;100.00
秦巴秀润资产管理有限公司;-;2017-12-31;100.00
北京吉艾软件开发有限公司;-;2015-12-31;100.00
天津安埔胜利石油工程技术有限公司;-;2015-12-31;100.00
北京吉艾能源技术开发有限公司;-;2015-12-31;100.00
GI Technologies Pakistan(Pvt) Ltd;-;2017-12-31;99.98
东营和力投资发展有限公司;-;2017-12-31;67.83
石家庄天元航地石油技术开发有限公司;-;2017-12-31;51.00
吉艾(河南)石油工程技术服务有限公司;-;2017-12-31;51.00
福建平潭鑫鹭资产管理有限公司;-;2017-12-31;51.00
海南汇润管理咨询有限公司;-;2017-12-31;51.00
成都吉耀广大企业管理有限公司;-;2017-12-31;51.00
重庆极锦企业管理有限公司;-;2017-12-31;51.00
Homai WellServices Asia;-;2017-12-31;50.97
濮阳市通达石化设备有限公司;-;2015-12-31;49.00
