参控股名称;股票代码;报告期;持股比例(%)
长虹电器(澳大利亚)有限公司;-;2017-12-31;100.00
长虹欧洲电器有限责任公司;-;2017-12-31;100.00
长虹北美研发中心有限公司;-;2017-12-31;100.00
长虹国际控股(香港)有限公司;-;2017-12-31;100.00
长虹中东电器有限责任公司;-;2017-12-31;100.00
长虹(香港)贸易有限公司;-;2017-12-31;100.00
四川长虹电源有限责任公司;-;2017-12-31;100.00
长虹俄罗斯电器有限责任公司;-;2017-12-31;100.00
四川虹电数字家庭产业技术研究公司;-;2017-12-31;100.00
四川长虹点点帮科技有限公司;-;2017-12-31;100.00
合肥长虹实业有限公司;-;2017-12-31;99.00
成都长虹电子科技有限责任公司;-;2017-12-31;99.00
广元长虹电子科技有限公司;-;2017-12-31;99.00
四川长虹网络科技有限责任公司;-;2017-12-31;96.27
四川长虹包装印务有限公司;-;2017-12-31;95.00
四川长虹精密电子科技有限公司;-;2017-12-31;95.00
四川长虹技佳精工有限公司;-;2017-12-31;95.00
四川长虹器件科技有限公司;-;2017-12-31;95.00
四川长虹创新投资有限公司;-;2017-12-31;95.00
四川长虹智慧健康科技有限公司;-;2017-12-31;93.22
四川长虹模塑科技有限公司;-;2017-12-31;93.17
广东长虹电子有限公司;-;2017-12-31;91.00
四川长虹光电有限公司;-;2017-12-31;90.00
四川快益点电器服务连锁有限公司;-;2017-12-31;90.00
四川长虹集能阳光科技有限公司;-;2017-12-31;90.00
长虹印尼电器有限公司;-;2017-12-31;88.00
乐家易连锁管理有限公司;-;2017-12-31;80.00
四川长虹通信科技有限公司;-;2017-12-31;80.00
四川长虹新能源科技股份有限公司;836239.OC;2018-03-31;70.68
四川长虹新能源股份有限公司;-;2017-12-31;70.68
