参控股名称;股票代码;报告期;持股比例(%)
多氟多(焦作)新能源科技有限公司;-;2017-06-30;100.00
邢台多氟多汽车销售有限公司;-;2017-06-30;100.00
共青城捷信新能源投资中心(有限合伙);-;2017-06-30;99.80
河南省有色金属工业有限公司;-;2015-12-31;94.36
深圳市多氟多新能源科技有限公司;-;2015-12-31;90.00
河北红星汽车制造有限公司;-;2017-06-30;85.29
焦作伴侣纳米材料工程有限公司;-;2015-12-31;74.00
白银中天化工有限责任公司;-;2017-06-30;73.00
宁夏盈氟金和科技有限公司;-;2017-06-30;67.00
焦作市中站区富多多小额贷款有限公司;-;2017-06-30;60.00
焦作氟多凯工业有限公司;-;2015-12-31;60.00
多氟多(抚顺)科技开发有限公司;-;2017-06-30;55.00
多氟多(昆明)科技开发有限公司;-;2017-06-30;50.50
焦作市福多多实业有限公司;-;2015-12-31;42.86
敖汉旗景昌莹石有限公司;-;2017-06-30;40.00
河南红土创新创业投资有限公司;-;2017-06-30;35.00
隆化县金来矿业有限公司;-;2017-06-30;30.00
