参控股名称;股票代码;报告期;持股比例(%)
GALLOP交通发展有限公司;-;2017-12-31;100.00
上海奉贤大众众义汽车客运有限公司;-;2017-12-31;100.00
上海奉贤大众众和出租汽车有限公司;-;2017-12-31;100.00
上海大众国际会议中心有限公司;-;2017-12-31;100.00
宁波大众汽车服务有限公司;-;2017-12-31;100.00
上海大众交通旧机动车经纪有限公司;-;2017-12-31;100.00
上海大众交通集团资产管理有限公司;-;2017-12-31;100.00
上海大众大厦有限责任公司;-;2017-12-31;100.00
上海奉贤大众汽车客运有限公司;-;2017-12-31;100.00
嘉善众祥房产开发有限公司;-;2017-12-31;100.00
上海大众洗涤保洁实业有限公司;-;2017-12-31;100.00
大众汽车租赁有限公司;-;2017-12-31;100.00
上海大众房地产开发经营公司;-;2017-12-31;100.00
上海大众旅游有限公司;-;2017-12-31;100.00
上海大众旅游汽车有限公司;-;2017-12-31;100.00
上海大众会议展览有限责任公司;-;2017-12-31;100.00
上海大众国际旅行社有限公司;-;2017-12-31;100.00
上海大众国际仓储物流有限公司;-;2017-12-31;100.00
苏州大众交通有限公司;-;2017-12-31;100.00
上海大众航空服务有限公司;-;2017-12-31;100.00
上海大众科技有限公司;-;2017-12-31;100.00
吴江大众置业发展有限公司;-;2017-12-31;100.00
上海大众物业管理有限责任公司;-;2017-12-31;100.00
上海大众三汽公共交通出租汽车有限公司;-;2017-12-31;100.00
苏州大众交通汽车修理有限公司;-;2017-12-31;100.00
上海虹口大众出租汽车有限公司;-;2017-12-31;100.00
北京大众汽车租赁有限公司;-;2017-12-31;100.00
桐乡申地置业有限公司;-;2017-12-31;100.00
上海京威实业有限公司;-;2017-12-31;100.00
余姚上海大众交通有限公司;-;2017-12-31;100.00
