参控股名称;股票代码;报告期;持股比例(%)
大连盛发置业有限公司;-;2017-06-30;100.00
邯郸发兴房地产开发有限公司;-;2017-06-30;100.00
邯郸富丽华物业服务有限公司;-;2017-06-30;100.00
沈阳星狮房地产开发有限公司;-;2017-06-30;100.00
大连友谊服装有限公司;-;2016-11-22;100.00
大连友谊物业服务有限公司;-;2016-11-22;100.00
邯郸友谊商城有限公司;-;2016-11-22;100.00
沈阳友谊商城有限公司;-;2015-12-31;100.00
辽阳友谊商城有限公司;-;2015-12-31;100.00
沈阳友谊(铁西)购物中心有限公司;-;2016-11-22;99.00
大连友谊合升房地产开发有限公司;-;2017-06-30;90.00
大连友谊购物广场发展有限公司;-;2016-11-22;90.00
大连友嘉购物有限公司;-;2016-11-22;90.00
大连友谊金石谷俱乐部有限公司;-;2017-06-30;70.00
大连锦城装饰装修工程有限公司;-;2016-11-22;70.00
大连中免友谊外供免税品有限公司;-;2015-12-31;65.00
大连富丽华大酒店;-;2016-11-22;60.00
大连保税区中免友谊航运服务有限公司;-;2016-11-22;50.00
苏州汇银合升地产投资基金合伙企业(有限合伙);-;2017-06-30;49.50
大连南浦外供食品有限公司;-;2017-06-30;30.00
苏州新友置地有限公司;-;2016-08-31;5.00
