参控股名称;股票代码;报告期;持股比例(%)
保定天汽模汽车模具有限公司;-;2017-12-31;100.00
湘潭天汽模热成型技术有限公司;-;2017-12-31;100.00
天津敏捷云科技有限公司;-;2017-12-31;100.00
鹤壁天淇汽车模具有限公司;-;2017-12-31;100.00
天津天汽模模具部件有限公司;-;2017-12-31;100.00
天津天汽模汽车部件有限公司;-;2017-12-31;100.00
天津天汽模车身装备技术有限公司;-;2017-12-31;100.00
TianJin Motor Dies Europe GmbH;-;2017-12-31;100.00
沈阳天汽模航空部件有限公司;-;2017-12-31;100.00
天津志诚模具有限公司;-;2017-12-31;100.00
天津敏捷网络技术有限公司;-;2017-12-31;100.00
黄骅天汽模汽车模具有限公司;-;2017-12-31;100.00
天津天汽模志通车身科技有限公司;-;2017-12-31;100.00
湘潭天汽模普瑞森传动部件有限公司;-;2017-12-31;100.00
武汉天汽模志信汽车模具有限公司;-;2017-12-31;74.71
天津市全红电子装备新技术发展有限公司;-;2017-12-31;55.00
湖南天汽模汽车模具技术股份有限公司;870563.OC;2017-12-31;47.08
株洲汇隆实业发展有限公司;-;2017-12-31;40.00
东风(武汉)实业有限公司;-;2017-12-31;40.00
天津凯德实业有限公司;-;2017-12-31;33.24
鹤壁天淇金山模具铸造科技有限公司;-;2017-12-31;30.00
北汽兴东方模具(北京)有限公司;-;2017-12-31;25.00
东风实业有限公司;-;2017-12-31;25.00
天津飞悦航空工业股份有限公司;872725.OC;2018-03-09;5.00
