参控股名称;股票代码;报告期;持股比例(%)
天津松江地产投资有限公司;-;2017-06-30;100.00
天津松江置地有限公司;-;2017-06-30;100.00
天津松江建材有限公司;-;2017-06-30;100.00
天津松江兴业房地产开发有限公司;-;2017-06-30;100.00
天津松江恒泰房地产开发有限公司;-;2017-06-30;100.00
天津运河城投资有限公司;-;2016-12-31;100.00
天津松江财富投资合伙企业(有限合伙);-;2017-04-07;99.80
天津松江集团有限公司;-;2017-06-30;88.12
天津卓朗科技发展有限公司;-;2018-01-23;80.00
天津恒泰汇金融资租赁有限公司;-;2017-06-30;75.00
江西松江智慧城市建设发展有限公司;-;2017-06-30;68.42
深圳市梅江南投资发展有限公司;-;2017-06-30;66.67
广西松江房地产开发有限公司;-;2017-06-30;60.00
广西盛钦置业有限公司;-;2017-06-30;60.00
天津武清朝聚眼科医院有限公司;-;2017-06-30;34.00
天津招江投资有限公司;-;2017-06-30;23.00
