参控股名称;股票代码;报告期;持股比例(%)
惠州市奇信高新材料有限公司;-;2017-12-31;100.00
深圳市奇信环境艺术设计研究院有限公司;-;2017-12-31;100.00
深圳市奇信新材料有限公司;-;2017-12-31;100.00
深圳市奇信铭筑人居环境有限公司;-;2017-12-31;100.00
深圳市奇信装饰物联网研发有限公司;-;2017-12-31;100.00
大连市奇信装饰设计工程有限公司;-;2017-12-31;100.00
深圳市奇信建筑幕墙工程有限公司;-;2017-12-31;100.00
北京英豪建筑装饰设计工程有限公司;-;2017-12-31;100.00
奇信(香港)股份有限公司;-;2017-12-31;100.00
深圳市朝大贸易发展有限公司;-;2015-12-31;100.00
辽宁奇信装饰设计工程有限公司;-;2015-12-31;100.00
深圳市奇信工程管理有限公司;-;2015-12-31;100.00
深圳市奇信建筑智能化工程有限公司;-;2017-12-31;70.00
佛山中科华洋材料科技有限公司;-;2017-12-31;70.00
深圳市全容科技有限公司;-;2017-12-31;60.00
深圳市全容电子商务有限公司;-;2017-06-15;60.00
深圳市信合建筑工程有限公司;-;2017-12-31;51.00
深圳市藤信产业投资企业(有限合伙);-;2017-12-31;50.00
深圳前海信通建筑供应链有限公司;-;2017-12-31;49.00
深圳市华创中艺文化传播有限公司;-;2017-12-31;35.00
深圳市敢为软件技术有限公司;-;2017-12-31;10.00
