参控股名称;股票代码;报告期;持股比例(%)
西藏奇正藏药营销有限公司;-;2017-06-30;100.00
北京白玛曲秘文化发展有限公司;-;2017-06-30;100.00
甘肃奇正藏药营销有限公司;-;2017-06-30;100.00
北京奇正天麦力健康科技有限公司;-;2017-06-30;100.00
甘肃奇正藏药有限公司;-;2017-06-30;100.00
甘南佛阁藏药有限公司;-;2017-06-30;100.00
林芝奇正白玛曲秘花园酒店有限公司;-;2017-06-30;100.00
西藏那曲正健冬虫夏草生物科技有限公司;-;2016-12-10;100.00
西藏群英投资中心(有限合伙);-;2017-06-30;88.50
甘肃省中药现代制药工程研究院有限公司;-;2017-06-30;85.00
西藏宇妥藏药产业集团有限责任公司;-;2017-06-30;82.00
西藏宇妥药材有限公司;-;2017-06-30;82.00
奇正(北京)传统藏医药外治研究院有限公司;-;2017-06-30;70.00
西藏林芝宇拓藏药有限责任公司;-;2017-06-30;65.00
陇西奇正药材有限公司;-;2015-12-31;52.63
