参控股名称;股票代码;报告期;持股比例(%)
越南宝钢制罐(顺化)有限公司;-;2017-12-31;100.00
佛山宝钢制罐有限公司;-;2017-12-31;100.00
成都宝钢制罐有限公司;-;2017-12-31;100.00
河北宝钢制罐北方有限公司;-;2017-12-31;100.00
河南宝钢制罐有限公司;-;2017-12-31;100.00
武汉宝钢包装有限公司;-;2017-12-31;100.00
完美包装工业有限公司;-;2017-12-31;100.00
西藏宝钢包装有限责任公司;-;2017-12-31;100.00
哈尔滨宝钢制罐有限公司;-;2017-12-31;100.00
武汉宝钢印铁有限公司;-;2015-12-31;100.00
武汉宝钢制罐有限公司;-;2015-12-31;100.00
宝钢包装香港有限公司;-;2015-12-31;100.00
上海宝翼制罐有限公司;-;2017-12-31;95.50
上海宝钢制盖有限公司;-;2017-12-31;75.00
Baometal S.r.l.;-;2017-12-31;70.00
越南宝钢制罐有限公司;-;2017-12-31;70.00
宝钢包装(意大利)有限公司;-;2015-12-31;70.00
