参控股名称;股票代码;报告期;持股比例(%)
广州港新沙港务有限公司;-;2017-06-30;100.00
广州港能源发展有限公司;-;2017-06-30;100.00
广州港物流有限公司;-;2017-06-30;100.00
广州港工程管理有限公司;-;2017-06-30;100.00
广东港航环保科技有限公司;-;2017-06-30;100.00
广州港船舶代理有限公司;-;2017-06-30;100.00
广州港船务有限公司;-;2017-06-30;100.00
广州港工程设计院有限公司;-;2017-06-30;100.00
广州华南煤炭交易中心有限公司;-;2017-06-30;100.00
广东港航投资有限公司;-;2017-06-30;100.00
广州南沙海港贸易有限公司;-;2017-06-30;100.00
广州港研究院有限公司;-;2017-06-30;100.00
广州港数据科技有限公司;-;2017-06-30;100.00
广州海港拖轮有限公司;-;2017-06-30;85.00
广州外轮理货有限公司;-;2017-06-30;84.00
广州港建设工程有限公司;-;2017-06-30;80.00
广州港合诚融资担保有限公司;-;2017-06-30;60.00
广州港南沙港务有限公司;-;2017-06-30;51.00
广州集装箱码头有限公司;-;2017-06-30;51.00
广州港海嘉汽车码头有限公司;-;2017-06-30;50.00
广州中联理货有限公司;-;2017-06-30;50.00
广州港南沙汽车码头有限公司;-;2017-06-30;45.00
广州南沙海港集装箱码头有限公司;-;2017-06-30;41.00
广东中交龙沙物流有限责任公司;-;2017-06-30;35.00
广州恒太国际货运代理有限公司;-;2017-06-30;10.00
