参控股名称;股票代码;报告期;持股比例(%)
龙口市恒通汽车贸易有限公司;-;2017-06-30;100.00
龙口市恒通起重吊装有限公司;-;2017-06-30;100.00
龙口市恒通驾驶员培训有限公司;-;2017-06-30;100.00
龙口市港恒仓储有限公司;-;2017-06-30;100.00
山东恒福绿洲新能源有限公司;-;2017-06-30;100.00
龙口市恒通汽车租赁有限公司;-;2017-06-30;100.00
山东优化物流有限公司;-;2017-06-30;100.00
北京恒通优化能源科技有限公司;-;2017-06-30;100.00
上海恒通优化国际物流有限公司;-;2017-06-30;100.00
华恒能源有限公司;-;2017-06-30;73.00
华恒物流有限公司;-;2015-12-31;73.00
山东省通港物流有限公司;-;2017-06-30;65.00
云通智安安全科技有限公司;-;2017-06-30;60.00
一点科技有限公司;-;2017-06-30;51.00
北海新奥华恒物流有限公司;-;2017-06-30;40.00
