参控股名称;股票代码;报告期;持股比例(%)
哈尔滨报喜鸟服饰有限公司;-;2017-12-31;100.00
成都报喜鸟服饰有限公司;-;2017-12-31;100.00
杭州圣安特捷罗服饰有限公司;-;2017-12-31;100.00
乌鲁木齐报喜鸟服饰有限公司;-;2017-12-31;100.00
江西报喜鸟服饰有限公司;-;2017-12-31;100.00
盘锦报喜鸟服饰有限公司;-;2017-12-31;100.00
兰州报喜鸟服饰有限公司;-;2017-12-31;100.00
温州市圣安捷罗报喜鸟服饰有限公司;-;2017-12-31;100.00
济南报喜鸟服饰有限责任公司;-;2017-12-31;100.00
北京圣安报喜鸟服饰有限公司;-;2017-12-31;100.00
浙江所罗服饰有限公司;-;2017-12-31;100.00
上海乐菲服饰有限公司;-;2017-12-31;100.00
柯兰美服饰(上海)有限公司;-;2017-12-31;100.00
上海迪睿服饰有限公司;-;2017-12-31;100.00
上海美格服饰有限公司;-;2017-12-31;100.00
泉州汉爵斯服饰有限公司;-;2017-12-31;100.00
江阴汉爵斯服饰有限公司;-;2017-12-31;100.00
上海锐铭时装有限公司;-;2017-12-31;100.00
苏州哈吉斯服饰有限公司;-;2017-12-31;100.00
浙江凤凰尚品贸易有限公司;-;2017-12-31;100.00
上海卡米其服饰有限公司;-;2017-12-31;100.00
南京丹诗格尔服饰有限公司;-;2017-12-31;100.00
意大利报喜鸟有限责任公司;-;2017-12-31;100.00
上海欧爵服饰有限公司;-;2017-12-31;100.00
银川哈吉斯服饰有限公司;-;2017-12-31;100.00
浙江报喜鸟创业投资有限公司;-;2017-12-31;100.00
武汉东博利尼服装有限公司;-;2017-12-31;100.00
东莞哈吉斯服饰有限公司;-;2017-12-31;100.00
长沙汉爵斯服饰有限公司;-;2017-12-31;100.00
浙江锦凡服饰有限公司;-;2017-12-31;100.00
