参控股名称;股票代码;报告期;持股比例(%)
南通新丝路供应链管理有限公司;-;2017-12-31;100.00
东莞市潮流前线信息科技有限公司;-;2017-12-31;100.00
广州市潮特服装有限公司;-;2017-12-31;100.00
广州市搜特服装有限公司;-;2017-12-31;100.00
东莞市潮特服装有限公司;-;2017-12-31;100.00
广州伊烁服饰有限公司;-;2017-12-31;100.00
东莞市搜于特供应链管理有限公司;-;2017-12-31;100.00
东莞市搜于特品牌管理有限公司;-;2017-12-31;100.00
深圳市前海搜银商业保理有限公司;-;2017-12-31;100.00
广东搜于特投资管理有限公司;-;2017-12-31;100.00
东莞市搜于特创意设计有限公司;-;2017-12-31;100.00
东莞市搜于特信息科技有限公司;-;2017-12-31;100.00
南昌市汇港供应链管理有限公司;-;2017-12-31;100.00
苏州麻漾湖实业有限公司;-;2017-12-31;100.00
广东搜于特时尚文化产业投资基金(有限合伙);-;2017-12-31;90.00
东莞市愉成服装有限公司;-;2017-12-31;51.00
广州市汇美时尚集团股份有限公司;-;2017-12-31;25.20
北京中研瀚海网络科技股份有限公司;835798.OC;2017-12-31;19.85
