参控股名称;股票代码;报告期;持股比例(%)
四川文轩云图文创科技有限公司;-;2017-12-31;100.00
四川文轩教育科技有限公司;-;2017-12-31;100.00
四川文传物流有限公司;-;2017-12-31;100.00
文轩投资有限公司;-;2017-12-31;100.00
四川新华文化传播有限责任公司;-;2017-12-31;100.00
四川大自然探索杂志社有限公司;-;2017-12-31;100.00
四川文艺出版社有限公司;-;2017-12-31;100.00
四川天地出版社有限公司;-;2017-12-31;100.00
四川巴蜀书社有限公司;-;2017-12-31;100.00
四川看熊猫杂志有限公司;-;2017-12-31;100.00
文轩全媒(北京)文化传播有限公司;-;2017-12-31;100.00
四川文轩音乐文化传播有限公司;-;2017-12-31;100.00
文轩体育文化发展有限公司;-;2017-12-31;100.00
四川画报社有限公司;-;2017-12-31;100.00
四川文轩艺术投资管理有限公司;-;2017-12-31;100.00
文轩国际文化传播有限公司;-;2017-12-31;100.00
北京华夏盛轩图书有限公司;-;2017-12-31;100.00
四川新华在线网络有限责任公司;-;2017-12-31;100.00
北京蜀川新华书店图书发行有限责任公司;-;2017-12-31;100.00
四川人民出版社有限公司;-;2017-12-31;100.00
四川出版印刷有限公司;-;2017-12-31;100.00
四川教育出版社有限公司;-;2017-12-31;100.00
四川少年儿童出版社有限公司;-;2017-12-31;100.00
四川科学技术出版社有限公司;-;2017-12-31;100.00
四川美术出版社有限公司;-;2017-12-31;100.00
四川辞书出版社有限公司;-;2017-12-31;100.00
四川省印刷物资有限责任公司;-;2017-12-31;100.00
四川数字出版传媒有限公司;-;2017-12-31;100.00
四川读者报社有限公司;-;2017-12-31;100.00
四川新华印刷有限责任公司;-;2017-12-31;100.00
