参控股名称;股票代码;报告期;持股比例(%)
天津新湖中宝投资有限公司;-;2017-06-30;100.00
启东新湖投资开发有限公司;-;2017-06-30;100.00
上海拓驿投资管理有限公司;-;2017-06-30;100.00
新湖中宝投资管理有限公司;-;2017-06-30;100.00
浙江新湖金融信息服务有限公司;-;2017-06-30;100.00
贵州新湖能源有限公司;-;2017-06-30;100.00
新湖影视传播有限公司;-;2017-06-30;100.00
香港新湖投资有限公司;-;2017-06-30;100.00
香港新澳投资有限公司;-;2017-06-30;100.00
上海中瀚置业有限公司;-;2017-06-30;100.00
新湖地产集团有限公司;-;2017-06-30;100.00
浙江允升投资集团有限公司;-;2017-06-30;100.00
绍兴百大房地产有限责任公司;-;2017-06-30;90.00
温州新湖房地产开发有限公司;-;2017-06-30;90.00
丰宁承龙矿业有限公司;-;2017-06-30;80.00
九江新湖远洲置业有限公司;-;2017-06-30;70.00
嘉兴新湖中房置业有限公司;-;2017-06-30;51.00
平阳伟成置业有限公司;-;2017-06-30;51.00
平阳隆恒置业有限公司;-;2017-06-30;51.00
平阳安瑞置业有限公司;-;2017-06-30;51.00
平阳县利得海涂围垦开发有限公司;-;2017-06-30;51.00
杭州湖新投资有限公司;-;2017-06-30;50.00
新湖控股有限公司;-;2017-06-30;48.00
舟山新湖置业有限公司;-;2017-06-30;45.00
浩韵控股集团有限公司;-;2017-06-30;45.00
江苏新湖宝华置业有限公司;-;2017-06-30;35.00
甘肃西北矿业集团有限公司;100670.GSE;2017-06-30;34.40
通卡联城网络科技有限公司;-;2017-06-30;34.00
内蒙古合和置业有限公司;-;2017-06-30;20.00
新湖期货有限公司;-;2017-06-30;15.67
