参控股名称;股票代码;报告期;持股比例(%)
湖南恒兴医药科技有限公司;-;2017-06-30;100.00
海南博大药业有限公司;-;2017-06-30;100.00
湖南方盛科创医学技术有限公司;-;2017-06-30;100.00
珠海方盛康元投资有限公司;-;2017-06-30;100.00
湖南方盛博大制药有限公司;-;2015-12-31;100.00
湖南方盛华美医药科技有限公司;-;2017-06-30;72.00
湖南方盛育臣生物科技有限公司;-;2017-06-30;70.00
湖南方盛医疗产业管理有限公司;-;2017-06-30;58.00
湖南方盛医药有限公司;-;2017-06-30;57.50
湖南湘雅制药有限公司;-;2017-06-30;53.29
广东暨大基因药物工程研究中心有限公司;-;2017-06-30;50.00
LipoMedics,Inc.;-;2018-03-29;30.15
Lipo Medics, Inc.;-;2017-06-30;30.00
湖南时代方盛医学检验技术有限公司;-;2017-06-30;25.00
同系方盛(珠海)医药产业投资合伙企业(有限合伙);-;2017-06-30;16.66
