参控股名称;股票代码;报告期;持股比例(%)
明牌珠宝(香港)有限公司;-;2017-12-31;100.00
杭州明牌珠宝销售有限公司;-;2017-12-31;100.00
浙江明牌卡利罗饰品有限公司;-;2017-12-31;100.00
武汉明牌首饰有限公司;-;2017-12-31;100.00
上海明牌首饰有限公司;-;2017-12-31;100.00
绍兴明牌珠宝销售有限公司;-;2017-12-31;100.00
长沙明牌珠宝销售公司;-;2017-12-31;100.00
上海杨浦明牌商贸有限公司;-;2017-12-31;100.00
上海明牌钻石有限公司;-;2017-12-31;100.00
深圳明牌珠宝有限公司;-;2017-12-31;100.00
镇江明牌珠宝首饰有限公司;-;2017-12-31;100.00
浙江明牌电子商务有限公司;-;2017-12-31;100.00
绍兴鑫盛电子商务有限公司;-;2017-12-31;100.00
沈阳明牌珠宝有限公司;-;2018-04-21;100.00
深圳市卓一珠宝有限公司;-;2017-12-31;51.10
上海笔尔工业设计有限公司;-;2017-12-31;32.15
山东明牌珠宝有限公司;-;2017-12-31;30.00
南京明奥珠宝有限公司;-;2017-12-31;26.00
苏州市好屋信息技术有限公司;-;2017-12-31;25.00
