参控股名称;股票代码;报告期;持股比例(%)
柳工无锡路面机械有限公司;-;2017-12-31;100.00
江苏柳工机械有限公司;-;2017-12-31;100.00
柳州柳工挖掘机有限公司;-;2017-12-31;100.00
柳州柳工叉车有限公司;-;2017-12-31;100.00
天津柳工机械有限公司;-;2017-12-31;100.00
柳州柳工液压件有限公司;-;2017-12-31;100.00
柳工柳州铸造有限公司;-;2017-12-31;100.00
柳工柳州传动件有限公司;-;2017-12-31;100.00
江苏瑞凯资产管理有限公司;-;2017-12-31;100.00
安徽柳工起重机有限公司;-;2017-12-31;100.00
柳工机械股份有限公司职业培训学校;-;2017-12-31;100.00
柳工印度有限公司;-;2017-12-31;100.00
柳工北美有限公司;-;2017-12-31;100.00
柳工香港投资有限公司;-;2017-12-31;100.00
柳工机械亚太有限公司;-;2017-12-31;100.00
柳工机械中东有限公司;-;2017-12-31;100.00
柳工机械南非有限公司;-;2017-12-31;100.00
柳工机械香港有限公司;-;2017-12-31;100.00
柳工拉美有限公司;-;2015-12-31;99.00
北京首钢重型汽车制造股份有限公司;-;2017-12-31;87.75
柳工荷兰控股公司;-;2017-12-31;87.00
中恒国际租赁有限公司;-;2015-12-31;69.76
广西康明斯工业动力有限公司;-;2017-12-31;50.00
采埃孚(柳州)驱动桥有限公司;-;2017-12-31;50.00
广西威翔机械有限公司;-;2017-12-31;50.00
柳工美卓建筑设备(常州)有限公司;-;2017-12-31;50.00
柳州采埃孚机械有限公司;-;2017-12-31;49.00
常州柳立置业有限公司;-;2015-12-31;40.00
柳工机械拉美有限公司;-;2017-12-31;37.60
广西中信国际物流有限公司;-;2017-12-31;35.00
