参控股名称;股票代码;报告期;持股比例(%)
大唐桂冠盘县四格风力发电有限公司;-;2017-06-30;100.00
福建省集兴龙湘水电有限公司;-;2017-06-30;100.00
大唐桂冠山东电力投资有限公司;-;2017-06-30;100.00
四川川汇水电投资有限责任公司;-;2017-06-30;100.00
茂县天龙湖电力有限公司;-;2017-06-30;100.00
龙滩水电开发有限公司;-;2017-06-30;100.00
广西大唐桂冠电力营销有限公司;-;2017-06-30;100.00
大唐香电得荣电力开发有限公司;-;2017-06-30;100.00
大唐桂冠合山发电有限公司;-;2017-06-30;83.24
大唐岩滩水力发电有限责任公司;-;2017-06-30;70.00
福建安丰水电有限公司;-;2017-06-30;66.00
湖北省巴东县沿渡河电业发展有限公司;-;2017-06-30;65.00
广西桂冠开投电力有限责任公司;-;2017-06-30;52.00
广西大唐电力物资有限公司;-;2017-06-30;49.00
广西平班水电开发有限公司;-;2017-06-30;35.00
广西百色银海铝业有限责任公司;-;2017-12-14;27.59
广西北部湾银行股份有限公司;-;2016-12-31;7.53
