参控股名称;股票代码;报告期;持股比例(%)
吉林省公路机械有限公司;-;2017-12-31;100.00
鞍山森远科技有限公司;-;2017-12-31;100.00
新疆森吉公路工程装备有限公司;-;2017-12-31;100.00
鞍山森远路桥工程有限公司;-;2017-12-31;100.00
宁波中能建森远股权投资基金合伙企业(有限合伙);-;2017-12-31;90.00
辽宁森远增材制造科技有限公司;-;2017-12-31;51.00
新疆天山森远再生公路工程有限公司;-;2017-12-31;49.00
山西森远通泰路桥工程有限公司;-;2017-12-31;49.00
辽宁森远路桥工程有限公司;-;2017-12-31;49.00
海森环保科技有限公司;-;2017-12-31;49.00
四川钛森道路养护有限责任公司;-;2017-12-31;45.00
吉林省森茂路桥工程建设有限公司;-;2017-12-31;40.00
吉林省宽达市政建设有限公司;-;2017-12-31;40.00
大连泰通森远道路再生养护工程有限公司;-;2017-12-31;40.00
珲春银龙森远路桥工程股份有限公司;-;2017-12-31;40.00
内蒙古森远路桥工程有限公司;-;2017-12-31;40.00
江苏森达远路桥工程有限公司;-;2017-12-31;40.00
内蒙古公交投路桥科技养护股份有限公司;-;2017-12-31;40.00
河北森远路桥工程有限公司;-;2017-12-31;35.00
山东森际路桥工程有限公司;-;2017-12-31;35.00
甘肃陇森公路养护工程股份有限公司;-;2017-12-31;35.00
河南森远路桥工程有限公司;-;2017-12-31;35.00
台州森远建设有限公司;-;2017-12-31;20.00
吉林市环欣筑路材料有限责任公司;-;2017-12-31;20.00
吉林经济技术开发区城发管廊投资运营有限公司;-;2017-12-31;19.60
吉林市吉城吉丰管廊投资运营有限公司;-;2017-12-31;15.18
黑龙江大可公路养护股份有限公司;838018.OC;2018-03-15;7.91
