参控股名称;股票代码;报告期;持股比例(%)
浙江正泰网络技术有限公司;-;2016-04-16;100.00
浙江正泰投资有限公司;-;2015-12-31;100.00
上海诺雅克电气有限公司;-;2015-12-31;100.00
上海新华控制技术(集团)有限公司;-;2015-12-31;100.00
温州正泰电器科技有限公司;-;2015-12-31;100.00
上海正泰电源系统有限公司;-;2015-12-31;99.30
浙江正泰新能源开发有限公司;-;2017-06-30;89.33
浙江正泰仪器仪表有限责任公司;-;2017-06-30;85.89
浙江正泰机床电气制造有限公司;-;2015-12-31;73.67
浙江正泰电源电器有限公司;-;2015-12-31;71.70
浙江正泰机电电气有限公司;-;2015-12-31;69.50
浙江正泰建筑电器有限公司;-;2017-06-30;69.10
鄂尔多斯市正利新能源发电有限公司;-;2017-06-30;51.00
上海新漫传感技术研究发展有限公司;-;2017-08-08;51.00
浙江正泰接触器有限公司;-;2015-12-31;51.00
正泰(温州)电气有限公司;-;2015-12-31;51.00
内蒙古亿利库布其生态能源有限公司;-;2017-06-30;30.00
乐清市正泰小额贷款股份有限公司;-;2016-10-24;24.25
甘肃金泰电力有限责任公司;-;2017-06-30;20.00
GRABAT ENERGY, S.L.;-;2016-12-09;10.00
浙江浙大中控信息技术有限公司;-;2016-04-26;10.00
