参控股名称;股票代码;报告期;持股比例(%)
北京先见科技有限公司;-;2017-12-31;100.00
Youngsun Pack Germany GmbH;-;2017-12-31;100.00
苏州天使包装有限公司;-;2017-12-31;100.00
浙江永创机械有限公司;-;2017-12-31;100.00
杭州永怡投资有限公司;-;2017-12-31;100.00
杭州永创机电设备安装工程有限公司;-;2017-12-31;100.00
佛山市成田司化机械有限公司;-;2017-12-31;100.00
上海青葩包装机械有限公司;-;2017-12-31;100.00
广东成田司化机械有限公司;-;2017-12-31;100.00
台州市永派包装设备有限公司;-;2017-12-31;100.00
永创智能设备(香港)有限公司;-;2017-12-31;100.00
浙江美华包装机械有限公司;-;2017-12-31;100.00
广东轻工机械二厂智能设备有限公司;-;2017-12-31;100.00
展新迪斯艾机械(上海)有限公司;-;2017-12-31;90.00
浙江艾希汇先网络科技有限公司;-;2017-12-31;60.00
山东新巨丰科技包装股份有限公司;-;2018-04-13;3.88
