参控股名称;股票代码;报告期;持股比例(%)
滨海永太科技有限公司;-;2017-12-31;100.00
永太科技(美国)有限公司;-;2017-12-31;100.00
山东沾化永太药业有限公司;-;2017-12-31;100.00
浙江永太手心医药科技有限公司;-;2017-12-31;100.00
浙江永太药业有限公司;-;2017-12-31;100.00
浙江永太新材料有限公司;-;2017-12-31;100.00
上海浓辉化工有限公司;-;2017-12-31;100.00
浙江卓越精细化学品有限公司;-;2017-12-31;100.00
浙江手心制药有限公司;-;2017-12-31;100.00
滨海永太环保科技有限公司;-;2017-12-31;100.00
上海永太医药科技有限公司;-;2017-12-31;90.00
佛山手心制药有限公司;-;2017-12-31;90.00
海南鑫辉矿业有限公司;-;2017-12-31;70.00
邵武永太高新材料有限公司;-;2017-12-31;60.00
重庆永原盛科技有限公司;-;2017-12-31;51.00
江西富祥药业股份有限公司;300497.SZ;2017-12-31;9.76
