参控股名称;股票代码;报告期;持股比例(%)
苏州默纳克控制技术有限公司;-;2017-06-30;100.00
深圳市汇川信息技术有限公司;-;2017-06-30;100.00
苏州汇川技术有限公司;-;2017-06-30;100.00
汇川技术(香港)有限公司;-;2017-06-30;100.00
长春汇通光电技术有限公司;-;2017-06-30;100.00
杭州汇坤控制技术有限公司;-;2017-06-30;100.00
苏州汇川电子制造有限公司;-;2017-06-30;100.00
苏州汇川联合动力系统有限公司;-;2017-06-30;100.00
汇川技术(东莞)有限公司;-;2017-06-30;100.00
江苏汇程电机有限公司;-;2018-03-30;100.00
深圳前海晶瑞中欧并购基金投资企业(有限合伙);-;2017-06-30;99.53
北京汇川汇通科技有限公司;-;2017-06-30;95.00
上海莱恩精密机床附件有限公司;-;2017-12-21;94.40
南京汇川工业视觉技术开发有限公司;-;2017-06-30;56.50
深圳市汇川控制技术有限公司;-;2017-06-30;51.00
上海默贝特电梯技术有限公司;-;2017-06-30;50.00
南京磁之汇电机有限公司;-;2017-06-30;50.00
赛川机电股份有限公司;-;2017-06-30;50.00
江苏经纬轨道设备有限公司;-;2015-12-31;50.00
江苏经纬轨道交通设备有限公司;-;2017-02-16;45.45
宁波伊士通技术股份有限公司;-;2017-06-30;44.36
深圳市沃尔曼精密机械技术有限公司;-;2017-06-30;20.00
