参控股名称;股票代码;报告期;持股比例(%)
北京汇金世纪电子有限公司;-;2017-12-31;100.00
河北汇金金融设备技术服务有限公司;-;2017-12-31;100.00
河北汇金康健医疗设备有限公司;-;2017-12-31;100.00
石家庄璟融科技有限公司;-;2018-04-17;100.00
石家庄棠棣科技有限公司;-;2018-04-13;100.00
南京亚润科技有限公司;-;2017-12-31;71.43
合肥汇璟先进陶瓷材料科技有限公司;-;2017-12-31;65.00
深圳市北辰德科技股份有限公司;870694.OC;2017-12-31;55.00
河北德兰尼特机电科技有限公司;-;2017-12-31;53.00
河北汇金科技有限公司;-;2017-12-31;51.00
北京东方兴华科技发展有限责任公司;-;2017-12-31;51.00
安徽融易达科技有限公司;-;2017-12-31;51.00
上海棠棣信息科技股份有限公司;833777.OC;2017-12-31;50.25
深圳市前海汇金天源数字技术股份有限公司;-;2017-12-31;40.00
上海棠宝电子商务有限公司;-;2017-12-31;25.00
