参控股名称;股票代码;报告期;持股比例(%)
江苏汇鸿国际集团中天控股有限公司;-;2017-06-30;100.00
江苏汇鸿国际集团莱茵达有限公司;-;2017-06-30;100.00
江苏汇鸿国际集团医药保健品进出口有限公司;-;2017-06-30;100.00
江苏汇鸿国际集团同泰贸易有限公司;-;2017-06-30;100.00
江苏汇鸿创业投资有限公司;-;2017-06-30;100.00
汇鸿(香港)有限公司;-;2017-06-30;100.00
江苏汇鸿宝贝婴童用品有限公司;-;2017-06-30;100.00
江苏汇鸿冷链物流有限公司;-;2017-06-30;88.15
江苏省粮油食品进出口集团股份有限公司;-;2017-06-30;80.02
江苏汇鸿国际集团中鼎控股股份有限公司;-;2017-06-30;79.99
江苏汇鸿国际集团中锦控股有限公司;-;2017-06-30;63.50
江苏汇鸿国际集团资产管理有限公司;-;2017-06-30;55.00
江苏汇鸿国际集团中嘉发展有限公司;-;2017-06-30;54.00
江苏汇鸿国际集团畜产进出口股份有限公司;-;2017-06-30;46.03
江苏汇鸿亚森国际贸易有限公司;-;2017-06-30;42.00
江苏汇鸿国际集团盛世进出口有限公司;-;2017-06-30;41.00
江苏井神盐化股份有限公司;603299.SH;2018-03-31;5.37
华泰证券股份有限公司;601688.SH;2018-03-31;2.32
