参控股名称;股票代码;报告期;持股比例(%)
内蒙古华葵农业科技有限责任公司;-;2017-12-31;100.00
齐齐哈尔市北方洽洽食品销售有限公司;-;2017-12-31;100.00
重庆市南部洽洽食品销售有限公司;-;2017-12-31;100.00
阜阳洽洽食品有限公司;-;2017-12-31;100.00
捷航企业有限公司;-;2017-12-31;100.00
阜阳市洽洽食品销售有限公司;-;2017-12-31;100.00
上海奥通国际贸易有限公司;-;2017-12-31;100.00
甘南县洽洽食品有限公司;-;2017-12-31;100.00
包头华葵商贸有限公司;-;2017-12-31;100.00
珠海横琴洽洽食品销售有限公司;-;2017-12-31;100.00
合肥华康资产管理有限公司;-;2017-12-31;100.00
洽洽食品(泰国)有限公司;-;2017-12-31;100.00
包头洽洽食品有限公司;-;2017-12-31;100.00
安徽省洽洽食品设计研究院;-;2017-12-31;100.00
哈尔滨洽洽食品有限公司;-;2017-12-31;100.00
长沙洽洽食品有限公司;-;2017-12-31;100.00
新疆洽利农农业有限公司;-;2017-12-31;100.00
坚果派农业有限公司;-;2017-12-31;100.00
合肥洽洽味乐园电子商务有限公司;-;2017-12-31;100.00
池州坚果派农业有限公司;-;2017-12-31;100.00
宁波洽洽食品销售有限公司;-;2018-04-10;100.00
重庆洽洽食品有限公司;-;2017-12-31;75.00
安徽贝特食品科技有限公司;-;2017-12-31;75.00
广西坚果派农业有限公司;-;2017-12-31;70.00
河北多维食品有限公司;-;2017-12-31;70.00
上海洽洽食品有限公司;-;2017-12-31;60.00
江苏洽康食品有限公司;-;2017-12-31;60.00
蔚然(天津)股权投资基金合伙企业(有限合伙);-;2017-12-31;52.75
