参控股名称;股票代码;报告期;持股比例(%)
杭州边锋网络技术有限公司;-;2017-06-30;100.00
上海浩方在线信息技术有限公司;-;2017-06-30;100.00
东方星空数字娱乐有限公司;-;2017-06-30;100.00
杭州富春云科技有限公司;-;2017-06-30;100.00
浙江乌镇大数据产业园开发有限公司;-;2017-06-30;100.00
杭州战旗网络科技有限公司;-;2017-06-30;100.00
浙江智慧盈动创业投资有限公司;-;2017-06-30;100.00
浙江翰墨投资管理有限公司;-;2017-06-30;97.56
爱阅读(北京)科技股份有限公司;-;2017-06-30;70.00
浙江美术传媒拍卖有限公司;-;2017-06-30;66.00
浙江大数据交易中心有限公司;-;2017-06-30;53.20
淘宝天下传媒有限公司;-;2017-06-30;51.00
浙江浙报美术投资管理有限公司;-;2017-06-30;50.00
东方星空创业投资有限公司;-;2017-06-30;44.00
话机世界通信集团股份有限公司;831354.OC;2018-03-31;3.96
