参控股名称;股票代码;报告期;持股比例(%)
南京海兴电网技术有限公司;-;2017-12-31;100.00
Hexing Afrique;-;2017-12-31;100.00
宁波恒力达科技有限公司;-;2017-12-31;100.00
湖南海兴电器有限责任公司;-;2017-12-31;100.00
海兴控股(香港)有限公司;-;2017-12-31;100.00
杭州海兴泽科科技有限公司;-;2017-12-31;100.00
海兴巴西控股有限公司;-;2017-12-31;100.00
海兴电力科技股份有限公司;-;2017-12-31;100.00
Bangkit 印尼能源有限公司;-;2017-12-31;95.00
海兴(尼日利亚)技术服务有限公司;-;2017-12-31;90.00
海兴能源(巴西)有限公司;-;2017-12-31;90.00
ELETRA 电力股份有限公司;-;2017-12-31;85.58
海兴科技(印尼)有限公司;-;2017-12-31;84.92
TECNO STAFF S.A;-;2017-12-31;81.34
海兴电力(尼日利亚)有限公司;-;2017-12-31;75.00
海兴科技(肯尼亚)有限公司;-;2017-12-31;60.00
马什哈德电能仪表发展(合资)公司;-;2017-12-31;51.00
Intech 突尼斯有限公司;-;2017-12-31;50.00
Empire 海兴南非有限公司;-;2017-12-31;50.00
南京海兴远维配电自动化有限公司;-;2017-12-31;47.98
福特电力科技有限公司;-;2017-12-31;20.60
