参控股名称;股票代码;报告期;持股比例(%)
琼海瑞泽混凝土配送有限公司;-;2017-12-31;100.00
贵州毕节瑞泽新型建材有限公司;-;2017-12-31;100.00
屯昌瑞泽混凝土配送有限公司;-;2017-12-31;100.00
肇庆市金岗水泥有限公司;-;2017-12-31;100.00
三亚瑞泽科技有限公司;-;2017-12-31;100.00
海南瑞泽新材料研究院有限公司;-;2017-12-31;100.00
三亚瑞泽再生资源利用有限公司;-;2017-12-31;100.00
海南瑞泽商贸有限公司;-;2017-12-31;100.00
三亚瑞泽双林混凝土有限公司;-;2017-12-31;100.00
海南瑞泽双林建材有限公司;-;2017-12-31;100.00
三亚新大兴园林生态有限公司;-;2017-12-31;100.00
海南瑞泽旅游控股有限公司;-;2017-12-31;100.00
海口瑞泽混凝土检测有限公司;-;2017-12-31;100.00
海南瑞泽生态环保技术有限公司;-;2017-12-31;100.00
陵水瑞泽沥青环保资源利用有限公司;-;2017-12-31;100.00
江门市绿顺环境管理有限公司;-;2018-01-31;100.00
江西绿润投资发展有限公司;-;2018-01-31;100.00
琼海财隆建材有限公司;-;2015-12-31;100.00
高要市金岗水泥有限公司;-;2015-12-31;100.00
琼海瑞泽晶英石有限公司;-;2017-12-31;75.00
广东怀集瑞泽水泥有限公司;-;2017-12-31;75.00
承德瑞砼新型建材有限公司;-;2017-12-31;70.00
三亚瑞泽物流有限公司;-;2015-12-31;60.00
海南瑞泽中秦实业有限公司;-;2017-12-31;51.00
北京华信瑞峰投资发展有限公司;-;2016-09-01;48.00
新疆煤炭交易所(有限公司);-;2016-03-03;22.23
新疆煤炭交易中心有限公司;-;2015-12-31;22.23
广东绿润环境管理有限公司;-;2017-12-31;20.00
佛山市绿润环境管理有限公司;-;2016-12-30;20.00
